(-0.88, 1.35, 15.34)
(-0.89, 1.35, 15.35)
(-0.89, 1.35, 15.34)
(-0.89, 1.35, 15.34)
(-0.89, 1.35, 15.34)
(-0.90, 1.34, 15.33)
(-0.92, 1.34, 15.31)
(-0.93, 1.33, 15.30)
(-0.93, 1.33, 15.29)
(-0.92, 1.34, 15.29)
(-0.92, 1.34, 15.28)
(-0.92, 1.34, 15.28)
(-0.92, 1.34, 15.27)
(-0.94, 1.34, 15.26)
(-0.95, 1.34, 15.26)
(-0.95, 1.33, 15.25)
(-0.94, 1.34, 15.25)
(-0.94, 1.35, 15.25)
(-0.95, 1.36, 15.26)
(-0.97, 1.36, 15.27)
(-1.00, 1.36, 15.27)
(-1.05, 1.35, 15.26)
(-1.13, 1.33, 15.27)
(-1.17, 1.31, 15.28)
(-1.18, 1.31, 15.29)
(-1.17, 1.32, 15.29)
(-1.16, 1.33, 15.29)
(-1.15, 1.34, 15.28)
(-1.14, 1.34, 15.27)
(-1.12, 1.34, 15.27)
(-1.10, 1.35, 15.27)
(-1.05, 1.37, 15.26)
(-0.98, 1.38, 15.26)
(-0.86, 1.39, 15.27)
(-0.74, 1.38, 15.27)
(-0.60, 1.36, 15.28)
(-0.44, 1.34, 15.28)
(-0.30, 1.33, 15.27)
(-0.20, 1.35, 15.27)
(-0.14, 1.36, 15.28)
(-0.09, 1.39, 15.28)
(-0.03, 1.42, 15.30)
(0.01, 1.46, 15.34)
(0.03, 1.47, 15.38)
(0.05, 1.47, 15.41)
(0.06, 1.46, 15.43)
(0.07, 1.45, 15.45)
(0.08, 1.44, 15.46)
(0.07, 1.44, 15.47)
(0.04, 1.44, 15.48)
(-0.01, 1.43, 15.50)
(-0.08, 1.41, 15.54)
(-0.14, 1.39, 15.57)
(-0.20, 1.38, 15.56)
(-0.25, 1.38, 15.55)
(-0.32, 1.36, 15.51)
(-0.40, 1.34, 15.44)
(-0.50, 1.33, 15.35)
(-0.59, 1.34, 15.25)
(-0.66, 1.36, 15.19)
(-0.73, 1.36, 15.16)
(-0.82, 1.35, 15.14)
(-0.86, 1.34, 15.15)
(-0.90, 1.35, 15.17)
(-0.91, 1.35, 15.18)
(-0.92, 1.36, 15.18)
(-0.93, 1.36, 15.19)
(-0.94, 1.36, 15.19)
(-0.97, 1.36, 15.20)
(-1.01, 1.36, 15.21)
(-1.09, 1.35, 15.23)
(-1.15, 1.34, 15.24)
(-1.17, 1.33, 15.25)
(-1.18, 1.34, 15.27)
(-1.17, 1.35, 15.27)
(-1.15, 1.35, 15.26)
(-1.12, 1.36, 15.22)
(-1.11, 1.36, 15.17)
(-1.09, 1.36, 15.11)
(-1.06, 1.36, 15.04)
(-1.04, 1.37, 14.99)
(-1.02, 1.37, 14.95)
(-1.00, 1.37, 14.92)
(-1.00, 1.36, 14.89)
(-1.01, 1.35, 14.86)
(-1.02, 1.35, 14.83)
(-1.04, 1.34, 14.81)
(-1.06, 1.34, 14.79)
(-1.07, 1.33, 14.79)
(-1.07, 1.34, 14.80)
(-1.07, 1.34, 14.82)
(-1.06, 1.33, 14.83)
(-1.03, 1.31, 14.82)
(-1.00, 1.29, 14.82)
(-0.94, 1.26, 14.83)
(-0.90, 1.26, 14.86)
(-0.85, 1.26, 14.93)
(-0.80, 1.24, 15.01)
(-0.75, 1.24, 15.07)
(-0.66, 1.27, 15.09)
(-0.57, 1.29, 15.10)
(-0.51, 1.31, 15.12)
(-0.44, 1.32, 15.11)
(-0.39, 1.32, 15.09)
(-0.35, 1.31, 15.07)
(-0.33, 1.30, 15.02)
(-0.32, 1.29, 14.97)
(-0.30, 1.27, 14.90)
(-0.28, 1.26, 14.83)
(-0.25, 1.25, 14.74)
(-0.23, 1.26, 14.68)
(-0.21, 1.26, 14.64)
(-0.20, 1.25, 14.61)
(-0.20, 1.25, 14.60)
(-0.22, 1.26, 14.61)
(-0.25, 1.26, 14.61)
(-0.30, 1.28, 14.62)
(-0.35, 1.29, 14.63)
(-0.41, 1.29, 14.65)
(-0.46, 1.31, 14.65)
(-0.48, 1.32, 14.65)
(-0.50, 1.33, 14.65)
(-0.51, 1.33, 14.65)
(-0.51, 1.34, 14.65)
(-0.51, 1.34, 14.64)
(-0.51, 1.34, 14.64)
(-0.51, 1.33, 14.64)
(-0.52, 1.33, 14.65)
(-0.52, 1.33, 14.65)
(-0.53, 1.35, 14.66)
