Time,TimeLsl,Value
1658564107.28289,336457.8705411,0
1658564107.28289,336457.8705604,7
1658564107.28289,336457.8705703,4
1658564107.28289,336457.870579,14
1658564107.28289,336457.8705875,31
1658564107.28289,336457.8705959,26
1658564107.28289,336457.8706084,14
1658564107.28289,336457.8706164,9
1658564107.28289,336457.8706245,12
1658564107.28289,336457.8706318,12
1658564107.28289,336457.8706399,12
1658564107.28289,336457.8706442,19
1658564107.28289,336457.8706522,14
1658564107.28289,336457.8706566,-17
1658564107.28289,336457.8706625,-12
1658564107.28289,336457.8706666,31
1658564107.28289,336457.8706723,36
1658564107.28289,336457.8706774,9
1658564107.28289,336457.8706835,14
1658564107.28289,336457.8706872,19
1658564107.28289,336457.8706934,14
1658564107.28289,336457.8706988,17
1658564107.28289,336457.8707042,31
1658564107.28289,336457.8707088,55
1658564107.28289,336457.8707146,68
1658564107.28289,336457.8707193,65
1658564107.28289,336457.8707247,75
1658564107.28289,336457.8707286,72
1658564107.28289,336457.8707346,58
1658564107.28289,336457.8707394,58
1658564107.28289,336457.8707448,55
1658564107.28289,336457.8707487,46
1658564107.28289,336457.8707546,43
1658564107.28289,336457.8707657,36
1658564107.28289,336457.8707773,34
1658564107.28289,336457.8707904,55
1658564107.28289,336457.8708143,75
1658564107.28289,336457.8708249,58
1658564107.28289,336457.8708315,-29
1658564107.28289,336457.8708394,-114
1658564107.28289,336457.8708439,70
1658564107.28289,336457.8708483,635
1658564107.28289,336457.8708545,1138
1658564107.28289,336457.8708603,1000
1658564107.28289,336457.8708674,265
1658564107.28289,336457.8708727,-257
1658564107.28289,336457.8708835,-109
1658564107.28289,336457.8708946,141
1658564107.28289,336457.8709013,87
1658564107.28289,336457.8709057,34
1658564107.40101,336457.8709119,75
1658564107.40101,336457.870919,63
1658564107.40101,336457.8709321,55
1658564107.40101,336457.8709461,85
1658564107.40101,336457.8709575,92
1658564107.40101,336457.8709726,102
1658564107.40101,336457.8709865,121
1658564107.40101,336457.8709996,124
1658564107.40101,336457.8710082,128
1658564107.40101,336457.8710118,145
1658564107.40101,336457.8710239,155
1658564107.40101,336457.8710336,160
1658564107.40101,336457.8710393,182
1658564107.40101,336457.8710509,206
1658564107.40101,336457.8710629,221
1658564107.40101,336457.8710681,236
1658564107.40101,336457.8710761,255
1658564107.40101,336457.8710891,274
1658564107.40101,336457.8710964,287
