Time,State
1941315.1208203,end
1941315.1208241,end
1941315.1208293,end
1941315.1208328,end
1941315.1208375,end
1941315.1208408,end
1941315.1208459,end
1941315.1208635,end
1941315.1208686,end
1941315.1208879,end
1941315.1208931,end
1941315.1208971,end
1941315.1209022,end
1941315.120908,end
1941315.1209134,end
1941315.1209172,end
1941315.1209224,end
1941315.1209263,end
1941315.1209445,end
1941315.1209484,end
1941315.6552391,end
1941315.6552569,end
1941315.6552628,end
1941315.6552691,end
1941315.6552738,end
1941315.6552773,end
1941315.655281,end
1941315.6552845,end
1941315.6552886,end
1941315.6552949,end
1941315.6553011,end
1941315.6553053,end
1941315.6553084,end
1941315.6553118,end
1941315.655315,end
1941315.6553181,end
1941315.6553215,end
1941315.6553255,end
1941315.6553303,end
1941315.6553382,end
1941315.6553515,end
1941315.6553618,end
1941315.6553694,end
1941315.6553762,end
1941315.6553883,end
1941315.6554213,end
1941315.6554503,end
1941315.6554664,end
1941315.6554808,end
1941315.6554943,end
1941315.6555063,end
1941315.6555134,end
1941315.6555176,end
1941315.6555236,end
1941315.6555277,end
1941315.6555319,end
1941315.6555378,end
1941315.6555418,end
1941315.6555479,end
1941315.6555531,end
1941315.655559,end
1941315.6555643,end
1941315.65557,end
1941315.6555738,end
1941315.655579,end
1941315.6555827,end
1941315.6555865,end
1941315.655591,end
1941315.6555949,end
1941315.6556003,end
1941315.6556047,end
1941315.6556095,end
1941315.655615,end
1941315.6556196,end
1941315.6556235,end
1941315.6556289,end
1941315.6556333,end
1941315.6556367,end
1941315.6556401,end
1941315.6556435,end
1941315.6556468,end
1941315.6556526,end
1941315.6556615,end
1941315.6556661,end
1941315.655676,end
1941315.6556881,end
1941315.6556972,end
1941315.6557037,end
1941315.6557127,end
1941315.6557187,end
1941315.655727,end
1941315.6557332,end
1941315.6557412,end
1941316.2889445,end
1941316.2889611,end
1941316.2889662,end
1941316.288973,end
1941316.2889782,end
1941316.2889828,end
1941316.2889873,end
1941316.2889919,end
1941316.2889974,end
1941316.2890018,end
1941316.289006,end
1941316.2890094,end
1941316.2890134,end
1941316.2890172,end
1941316.2890235,end
1941316.2890279,end
1941316.2890368,end
1941316.2890409,end
1941316.2890445,end
1941316.2890494,end
1941316.2890628,end
1941316.2890758,end
1941316.2890893,end
1941316.2891014,end
1941316.2891088,end
1941316.2891143,end
1941316.289121,end
1941316.2891302,end
1941316.2891386,end
1941316.2891499,end
1941316.2891613,end
1941316.2891705,end
1941316.2891773,end
1941316.2891851,end
1941316.2891879,end
1941316.28919,end
1941316.2891921,end
1941316.2891952,end
1941316.2892068,end
1941316.2892137,end
1941316.2892192,end
1941316.2892248,end
1941316.2892291,end
1941316.2892349,end
1941316.2892388,end
1941316.289244,end
1941316.2892477,end
1941316.2892519,end
1941316.2892623,end
1941316.2892692,end
1941316.2892791,end
1941316.2892841,end
1941316.2892898,end
1941316.2892944,end
1941316.2892995,end
1941316.2893062,end
1941316.2893181,end
1941316.2893264,end
1941316.2893304,end
1941316.2893355,end
1941316.28934,end
1941316.2893454,end
1941316.289354,end
1941316.2893641,end
1941316.2893749,end
1941316.2893852,end
1941316.2893987,end
1941316.2894089,end
1941316.289416,end
1941316.289429,end
1941316.2894422,end
1941316.2894507,end
1941316.2894532,end
1941316.825158,end
1941316.8251791,end
1941316.8251886,end
1941316.8251962,end
1941316.8252022,end
