Time,TimeLsl,Value
1657190436.61156,1943604.448258,7
1657190436.61156,1943604.448275,7
1657190436.61156,1943604.4482821,9
1657190436.61156,1943604.4482862,14
1657190436.61156,1943604.4482921,16
1657190436.61156,1943604.4482963,21
1657190436.61156,1943604.4483238,33
1657190436.61156,1943604.4483339,42
1657190436.61156,1943604.44834,45
1657190436.61156,1943604.4483432,42
1657190436.61156,1943604.4483462,40
1657190436.61156,1943604.4483496,54
1657190436.61156,1943604.4483564,76
1657190436.61156,1943604.4483595,69
1657190436.61156,1943604.4483625,35
1657190436.61156,1943604.4483655,16
1657190436.61156,1943604.4483684,26
1657190436.61156,1943604.4483714,21
1657190436.61156,1943604.4483744,0
1657190436.61156,1943604.4483774,-4
1657190436.61156,1943604.4483804,0
1657190436.61156,1943604.4483836,-4
1657190436.61156,1943604.4483866,-4
1657190436.61156,1943604.4483895,4
1657190436.61156,1943604.4483924,11
1657190436.61156,1943604.4483953,2
1657190436.61156,1943604.4483982,-7
1657190436.61156,1943604.4484011,0
1657190436.61156,1943604.448404,7
1657190436.61156,1943604.4484099,4
1657190436.61156,1943604.4484133,7
1657190436.61156,1943604.4484164,19
1657190436.61156,1943604.4484193,19
1657190436.61156,1943604.4484222,9
1657190436.61156,1943604.448425,2
1657190436.61156,1943604.448428,2
1657190436.61156,1943604.448431,16
1657190436.61156,1943604.448434,49
1657190436.61156,1943604.4484374,73
1657190436.61156,1943604.4484436,76
1657190436.61156,1943604.4484469,49
1657190436.61156,1943604.44845,16
1657190436.61156,1943604.448453,2
1657190436.61156,1943604.4484558,9
1657190436.61156,1943604.4484589,14
1657190436.61156,1943604.4484628,11
1657190436.61156,1943604.4484689,9
1657190436.61156,1943604.448472,14
1657190436.61156,1943604.448475,35
1657190436.61156,1943604.448478,95
1657190436.68117,1943604.448481,192
1657190436.68117,1943604.4484846,328
1657190436.68117,1943604.4484898,442
1657190436.68117,1943604.4484936,359
1657190436.68117,1943604.4484971,-97
1657190436.68117,1943604.4485006,-578
1657190436.68117,1943604.4485052,-407
1657190436.68117,1943604.4485122,49
1657190436.68117,1943604.4485174,71
1657190436.68117,1943604.4485236,-23
1657190436.68117,1943604.4485269,73
1657190436.68117,1943604.4485299,99
1657190436.68117,1943604.4485329,59
1657190436.68117,1943604.448536,83
1657190436.68117,1943604.448539,107
1657190436.68117,1943604.448542,99
