Time,TimeLsl,Value
1659022210.29581,341566.1216313,-23
1659022210.29581,341566.1216502,61
1659022210.29581,341566.1216596,360
1659022210.29581,341566.1216678,603
1659022210.29581,341566.121676,449
1659022210.29581,341566.1216835,171
1659022210.29581,341566.1216936,91
1659022210.29581,341566.1217003,47
1659022210.29581,341566.1217085,-14
1659022210.29581,341566.1217164,4
1659022210.29581,341566.1217243,23
1659022210.29581,341566.1217282,4
1659022210.29581,341566.121735,4
1659022210.29581,341566.121742,23
1659022210.29581,341566.1217488,30
1659022210.29581,341566.1217525,37
1659022210.29581,341566.1217597,35
1659022210.29581,341566.121766,25
1659022210.29581,341566.1217728,44
1659022210.29581,341566.1217783,56
1659022210.29581,341566.121783,28
1659022210.29581,341566.1217886,11
1659022210.29581,341566.1217964,28
1659022210.29581,341566.1218001,54
1659022210.29581,341566.1218056,68
1659022210.29581,341566.1218092,75
1659022210.29581,341566.1218153,77
1659022210.29581,341566.1218195,82
1659022210.29581,341566.1218271,91
1659022210.29581,341566.1218338,87
1659022210.29581,341566.1218376,89
1659022210.29581,341566.1218416,101
1659022210.29581,341566.1218492,96
1659022210.29581,341566.1218556,80
1659022210.29581,341566.1218613,75
1659022210.29581,341566.1218699,65
1659022210.29581,341566.1218752,49
1659022210.29581,341566.1218821,35
1659022210.29581,341566.121886,30
1659022210.29581,341566.1218912,32
1659022210.29581,341566.1218958,30
1659022210.29581,341566.1219012,23
1659022210.29581,341566.121907,23
1659022210.29581,341566.1219129,32
1659022210.29581,341566.1219166,30
1659022210.29581,341566.1219229,23
1659022210.29581,341566.121929,28
1659022210.29581,341566.1219372,30
1659022210.29581,341566.1219429,18
1659022210.29581,341566.1219472,16
1659022210.42759,341566.1219545,18
1659022210.42759,341566.1219608,21
1659022210.42759,341566.1219671,28
1659022210.42759,341566.1219709,28
1659022210.42759,341566.121976,21
1659022210.42759,341566.1219816,28
1659022210.42759,341566.1219879,25
1659022210.42759,341566.1219916,14
1659022210.42759,341566.1219972,11
1659022210.42759,341566.1220017,16
1659022210.42759,341566.1220117,30
1659022210.42759,341566.122022,42
1659022210.42759,341566.1220593,37
1659022210.42759,341566.1220694,21
1659022210.42759,341566.1220762,-2
1659022210.42759,341566.1220821,-9
1659022210.42759,341566.1220882,4
1659022210.42759,341566.1220927,7
1659022210.42759,341566.1220989,2
1659022210.42759,341566.1221035,0
1659022210.42759,341566.1221095,-25
1659022210.42759,341566.1221141,-14
1659022210.42759,341566.1221201,207
1659022210.42759,341566.6582112,527
1659022210.42759,341566.6582348,537
1659022210.42759,341566.6582416,259
1659022210.42759,341566.6582489,91
1659022210.42759,341566.6582558,30
1659022210.42759,341566.658262,-35
1659022210.42759,341566.6582681,-35
1659022210.42759,341566.6582742,-18
1659022210.42759,341566.6582834,-42
1659022210.42759,341566.6582908,-44
1659022210.42759,341566.6582957,-28
1659022210.42759,341566.6582997,-37
1659022210.42759,341566.6583049,-56
1659022210.42759,341566.6583113,-47
1659022210.42759,341566.6583161,-25
1659022210.42759,341566.6583229,-23
1659022210.42759,341566.6583307,-32
1659022210.42759,341566.6583399,-35
1659022210.42759,341566.6583441,-35
1659022210.42759,341566.6583474,-37
1659022210.42759,341566.658353,-25
1659022210.42759,341566.6583564,-14
1659022210.42759,341566.6583595,-11
1659022210.42759,341566.6583636,0
1659022210.42759,341566.6583689,11
1659022210.42759,341566.6583746,14
1659022210.42759,341566.6583847,25
1659022210.48196,341566.6584187,47
1659022210.48196,341566.6584298,56
1659022210.48196,341566.658439,58
1659022210.48196,341566.6584463,63
1659022210.48196,341566.6584543,56
1659022210.48196,341566.6584613,42
1659022210.48196,341566.6584698,35
1659022210.48196,341566.6584766,30
1659022210.48196,341566.6584853,21
1659022210.48196,341566.6584922,7
1659022210.48196,341566.6584974,7
1659022210.48196,341566.6585057,14
1659022210.48196,341566.6585126,21
1659022210.48196,341566.6585207,25
1659022210.48196,341566.6585281,28
1659022210.48196,341566.6585363,28
1659022210.48196,341566.6585427,30
1659022210.48196,341566.6585508,37
1659022210.48196,341566.658558,37
1659022210.48196,341566.6585666,37
1659022210.48196,341566.6585736,37
1659022210.48196,341566.6585814,32
1659022210.48196,341566.6585914,30
1659022210.48196,341566.6586217,23
1659022210.48196,341566.6586301,0
1659022210.48196,341566.6586354,-11
1659022210.48196,341566.6586418,0
1659022210.48196,341566.6586471,-2
1659022210.48196,341566.658652,-16
1659022210.48196,341566.6586571,-7
1659022210.48196,341566.6586638,14
1659022210.48196,341566.658668,30
1659022210.48196,341566.6586734,44
1659022210.48196,341566.658679,42
1659022210.48196,341566.6586843,18
1659022210.48196,341566.6586899,11
1659022210.48196,341566.6586958,21
1659022210.48196,341566.6587098,28
1659022210.48196,341566.6587229,35
1659022210.48196,341566.6587334,35
1659022210.48196,341566.6587425,7
1659022210.48196,341566.6588857,-9
1659022210.48196,341566.6588972,108
1659022210.48196,341566.6589016,412
1659022210.48196,341566.6589056,596
1659022210.48196,341566.6589095,428
1659022210.48196,341567.24274,200
1659022210.48196,341567.2427595,101
1659022210.48196,341567.2427721,23
1659022210.48196,341567.242783,-2
1659022210.5049,341567.2427919,28
1659022210.5049,341567.2428009,23
1659022210.5049,341567.2428103,7
1659022210.5049,341567.2428197,9
1659022210.5049,341567.2428294,9
1659022210.5049,341567.2428386,7
1659022210.5049,341567.242847,9
1659022210.5049,341567.2428558,16
1659022210.5049,341567.2428646,18
1659022210.5049,341567.2428733,4
1659022210.5049,341567.2428821,0
1659022210.5049,341567.2428888,14
1659022210.5049,341567.2428962,16
1659022210.5049,341567.2429027,16
1659022210.5049,341567.2429118,28
1659022210.5049,341567.2429206,35
1659022210.5049,341567.2429272,40
1659022210.5049,341567.2429365,47
1659022210.5049,341567.2429429,61
1659022210.5049,341567.2429518,77
1659022210.5049,341567.2429603,84
1659022210.5049,341567.2429669,91
1659022210.5049,341567.2429757,106
1659022210.5049,341567.2430871,110
1659022210.5049,341567.2431012,108
1659022210.5049,341567.2431088,103
1659022210.5049,341567.2431177,91
1659022210.5049,341567.2431241,73
1659022210.5049,341567.2431304,58
1659022210.5049,341567.2431378,54
1659022210.5049,341567.2431443,51
1659022210.5049,341567.2431509,51
1659022210.5049,341567.2431574,54
1659022210.5049,341567.2431652,58
1659022210.5049,341567.2431718,58
1659022210.5049,341567.2431782,58
1659022210.5049,341567.2431853,65
1659022210.5049,341567.2431915,58
1659022210.5049,341567.2431993,44
1659022210.5049,341567.2432061,47
1659022210.5049,341567.2432127,42
1659022210.5049,341567.2432193,30
1659022210.5049,341567.2432258,40
1659022210.5049,341567.2432323,51
1659022210.5049,341567.2432386,40
1659022210.5049,341567.2432459,35
1659022210.5049,341567.2432526,47
1659022210.5049,341567.2432592,42
1659022210.5049,341567.2432659,21
1659022210.5049,341567.2432728,28
1659022210.51587,341567.2432796,54
1659022210.51587,341567.2432868,63
1659022210.51587,341567.2432958,65
1659022210.51587,341567.2433026,77
1659022210.51587,341567.2433094,75
