Time,TimeLsl,Value
1660212425.21057,1531790.4260176,177
1660212425.21057,1531790.4260384,179
1660212425.21057,1531790.4260468,196
1660212425.21057,1531790.4260513,224
1660212425.21057,1531790.4260575,226
1660212425.21057,1531790.4260616,198
1660212425.21057,1531790.4260671,186
1660212425.21057,1531790.4260711,172
1660212425.21057,1531790.4260763,140
1660212425.21057,1531790.42608,126
1660212425.21057,1531790.4260841,137
1660212425.21057,1531790.4260893,142
1660212425.21057,1531790.426094,126
1660212425.21057,1531790.4260992,95
1660212425.21057,1531790.4261036,67
1660212425.21057,1531790.4261087,46
1660212425.21057,1531790.4261129,21
1660212425.21057,1531790.4261168,4
1660212425.21057,1531790.4261255,9
1660212425.21057,1531790.4261327,11
1660212425.21057,1531790.4261416,2
1660212425.21057,1531790.4261487,0
1660212425.21057,1531790.4261577,11
1660212425.21057,1531790.4261658,18
1660212425.21057,1531790.42617,25
1660212425.21057,1531790.4261754,32
1660212425.21057,1531790.42618,42
1660212425.21057,1531790.4261855,51
1660212425.21057,1531790.4261899,56
1660212425.21057,1531790.4261948,60
1660212425.21057,1531790.4261994,65
1660212425.21057,1531790.4262031,67
1660212425.21057,1531790.426208,74
1660212425.21057,1531790.4262148,84
1660212425.21057,1531790.4262184,81
1660212425.21057,1531790.4262232,84
1660212425.21057,1531790.4262303,93
1660212425.21057,1531790.4262374,91
1660212425.21057,1531790.4262473,77
1660212425.21057,1531790.4262545,65
1660212425.21057,1531790.4262625,65
1660212425.21057,1531790.4262666,70
1660212425.21057,1531790.4262721,72
1660212425.21057,1531790.4262759,77
1660212425.21057,1531790.4262819,88
1660212425.21057,1531790.4262856,88
1660212425.21057,1531790.426291,81
1660212425.21057,1531790.4262946,84
1660212425.21057,1531790.4262982,93
1660212425.21057,1531790.4263036,100
1660212425.35088,1531790.4263075,102
1660212425.35088,1531790.4263143,77
1660212425.35088,1531790.426325,56
1660212425.35088,1531790.426334,88
1660212425.35088,1531790.4263428,126
1660212425.35088,1531790.4263524,121
1660212425.35088,1531790.4263591,107
1660212425.35088,1531790.4263648,114
1660212425.35088,1531790.4263696,128
1660212425.35088,1531790.4263752,154
1660212425.35088,1531790.4263792,170
