Time,TimeLsl,Value
1660062070.16423,1381432.7625221,-44
1660062070.16423,1381432.7625393,-42
1660062070.16423,1381432.7625449,-37
1660062070.16423,1381432.7625513,-28
1660062070.16423,1381432.7625557,-21
1660062070.16423,1381432.7625616,-28
1660062070.16423,1381432.7625655,-42
1660062070.16423,1381432.7625694,-39
1660062070.16423,1381432.7625748,-23
1660062070.16423,1381432.7625792,-18
1660062070.16423,1381432.7625847,-18
1660062070.16423,1381432.7625896,-30
1660062070.16423,1381432.7625935,-49
1660062070.16423,1381432.7625991,-53
1660062070.16423,1381432.7626035,-42
1660062070.16423,1381432.7626076,-39
1660062070.16423,1381432.7626122,-37
1660062070.16423,1381432.7626177,-35
1660062070.16423,1381432.7626217,-35
1660062070.16423,1381432.7626255,-28
1660062070.16423,1381432.7626294,-9
1660062070.16423,1381432.7626332,2
1660062070.16423,1381432.762637,0
1660062070.16423,1381432.7626407,16
1660062070.16423,1381432.7626467,46
1660062070.16423,1381432.7626506,53
1660062070.16423,1381432.7626554,39
1660062070.16423,1381432.7626609,23
1660062070.16423,1381432.7626648,9
1660062070.16423,1381432.7626687,14
1660062070.16423,1381432.7626727,28
1660062070.16423,1381432.7626765,37
1660062070.16423,1381432.762682,35
1660062070.16423,1381432.7626859,18
1660062070.16423,1381432.7626912,98
1660062070.16423,1381432.7626952,506
1660062070.16423,1381432.7626997,1142
1660062070.16423,1381432.7627034,1490
1660062070.16423,1381432.7627088,1088
1660062070.16423,1381432.7627128,-154
1660062070.16423,1381432.7627183,-1008
1660062070.16423,1381432.7627223,-471
1660062070.16423,1381432.7627259,119
1660062070.16423,1381432.76273,-46
1660062070.16423,1381432.7627354,-84
1660062070.16423,1381432.7627393,98
1660062070.16423,1381432.7627447,81
1660062070.16423,1381432.7627487,21
1660062070.16423,1381432.7627527,60
1660062070.16423,1381432.7627568,70
1660062070.30552,1381432.7627629,65
1660062070.30552,1381432.7627669,98
1660062070.30552,1381432.7627723,126
1660062070.30552,1381432.7627764,137
1660062070.30552,1381432.7627804,163
1660062070.30552,1381432.7627844,198
1660062070.30552,1381432.7627898,214
1660062070.30552,1381432.7627938,207
1660062070.30552,1381432.7627994,219
1660062070.30552,1381432.7628034,247
1660062070.30552,1381432.7628079,263
1660062070.30552,1381432.7628145,268
1660062070.30552,1381432.7628183,273
1660062070.30552,1381432.7628245,268
1660062070.30552,1381432.7628285,247
1660062070.30552,1381432.7628323,219
1660062070.30552,1381432.7628364,184
1660062070.30552,1381432.7628404,142
1660062070.30552,1381432.7628457,100
1660062070.30552,1381432.7628497,63
1660062070.30552,1381432.7628552,37
1660062070.30552,1381432.7628592,4
1660062070.30552,1381432.7628635,-30
1660062070.30552,1381433.3475511,-49
1660062070.30552,1381433.3475709,-51
1660062070.30552,1381433.3475809,-74
1660062070.30552,1381433.3475878,-100
1660062070.30552,1381433.3475939,-86
1660062070.30552,1381433.3475994,-60
1660062070.30552,1381433.3476061,-46
1660062070.30552,1381433.3476105,-35
1660062070.30552,1381433.3476146,-37
1660062070.30552,1381433.3476212,-44
1660062070.30552,1381433.3476264,-37
1660062070.30552,1381433.3476302,-28
1660062070.30552,1381433.3476333,-21
1660062070.30552,1381433.3476365,-11
1660062070.30552,1381433.3476401,-18
1660062070.30552,1381433.3476437,-42
1660062070.30552,1381433.3476491,-49
