Time,TimeLsl,Value
1659960720.62827,1280081.9468938,78
1659960720.62827,1280081.9469389,69
1659960720.62827,1280081.9469553,67
1659960720.62827,1280081.9469647,53
1659960720.62827,1280081.9469743,34
1659960720.62827,1280081.94699,25
1659960720.62827,1280081.946997,16
1659960720.62827,1280081.9470007,23
1659960720.62827,1280081.9470057,20
1659960720.62827,1280081.9470093,0
1659960720.62827,1280081.9470141,-11
1659960720.62827,1280081.9470176,9
1659960720.62827,1280081.947023,88
1659960720.62827,1280081.947027,320
1659960720.62827,1280081.9470321,570
1659960720.62827,1280081.9470356,378
1659960720.62827,1280081.9470391,-157
1659960720.62827,1280081.9470442,-292
1659960720.62827,1280081.9470477,-13
1659960720.62827,1280081.9470527,55
1659960720.62827,1280081.9470561,-23
1659960720.62827,1280081.9470595,16
1659960720.62827,1280081.9470644,34
1659960720.62827,1280081.9470678,2
1659960720.62827,1280081.9470726,16
1659960720.62827,1280081.9470767,48
1659960720.62827,1280081.9470816,69
1659960720.62827,1280081.9470866,83
1659960720.62827,1280081.947093,81
1659960720.62827,1280081.9470993,88
1659960720.62827,1280081.9471037,122
1659960720.62827,1280081.9471075,127
1659960720.62827,1280081.9471129,102
1659960720.62827,1280081.9471186,127
1659960720.62827,1280081.9471238,171
1659960720.62827,1280081.9471282,169
1659960720.62827,1280081.9471337,169
1659960720.62827,1280081.9471373,211
1659960720.62827,1280081.9471444,241
1659960720.62827,1280081.9471514,245
1659960720.62827,1280081.9471579,231
1659960720.62827,1280081.9471634,204
1659960720.62827,1280081.9471711,201
1659960720.62827,1280081.947178,201
1659960720.62827,1280081.9471825,153
1659960720.62827,1280081.9471876,104
1659960720.62827,1280081.947192,97
1659960720.62827,1280081.9471954,85
1659960720.62827,1280081.947199,48
1659960720.62827,1280081.9472053,27
1659960720.75134,1280081.9472098,13
1659960720.75134,1280081.9472134,-4
1659960720.75134,1280081.947217,0
1659960720.75134,1280081.9472206,20
1659960720.75134,1280081.9472301,30
1659960720.75134,1280081.9472346,27
1659960720.75134,1280081.9472403,34
1659960720.75134,1280081.9472442,53
1659960720.75134,1280081.9472479,69
1659960720.75134,1280081.9472533,69
1659960720.75134,1280081.9472582,71
1659960720.75134,1280081.9472621,76
1659960720.75134,1280081.9472675,67
1659960720.75134,1280081.9472712,67
1659960720.75134,1280081.947275,95
1659960720.75134,1280081.9472822,109
1659960720.75134,1280081.9472874,74
1659960720.75134,1280081.9472913,62
1659960720.75134,1280081.9472964,85
1659960720.75134,1280081.9473001,69
1659960720.75134,1280081.9473039,39
1659960720.75134,1280081.9473094,41
1659960720.75134,1280081.9473134,44
1659960720.75134,1280082.4816921,20
1659960720.75134,1280082.4817108,23
1659960720.75134,1280082.4817174,67
1659960720.75134,1280082.4817238,81
1659960720.75134,1280082.4817298,37
1659960720.75134,1280082.4817341,30
1659960720.75134,1280082.481739,60
1659960720.75134,1280082.4817423,39
1659960720.75134,1280082.4817468,25
1659960720.75134,1280082.4817501,62
1659960720.75134,1280082.4817539,74
1659960720.75134,1280082.4817571,64
1659960720.75134,1280082.4817621,60
1659960720.75134,1280082.4817671,25
1659960720.75134,1280082.4817727,27
1659960720.75134,1280082.4817798,109
1659960720.75134,1280082.4817839,303
1659960720.75134,1280082.4817903,614
1659960720.75134,1280082.4817935,623
1659960720.75134,1280082.4817991,109
1659960720.75134,1280082.4818038,-262
1659960720.75134,1280082.4818104,-74
1659960720.75134,1280082.4818137,113
1659960720.75134,1280082.4818188,41
1659960720.75134,1280082.481832,18
1659960720.75134,1280082.4818439,60
1659960720.75134,1280082.4818506,39
1659960720.80071,1280082.4818547,23
1659960720.80071,1280082.4818613,37
1659960720.80071,1280082.4818647,44
1659960720.80071,1280082.4818779,41
1659960720.80071,1280082.4818922,48
1659960720.80071,1280082.4819031,62
1659960720.80071,1280082.4819316,69
1659960720.80071,1280082.4819391,88
1659960720.80071,1280082.4819429,125
1659960720.80071,1280082.4819465,150
1659960720.80071,1280082.4819501,148
1659960720.80071,1280082.4819544,153
1659960720.80071,1280082.48196,190
1659960720.80071,1280082.4819646,215
1659960720.80071,1280082.4819727,208
1659960720.80071,1280082.4819834,206
1659960720.80071,1280082.4819979,224
1659960720.80071,1280082.4820049,245
1659960720.80071,1280082.4820083,243
1659960720.80071,1280082.4820141,218
1659960720.80071,1280082.4820175,201
1659960720.80071,1280082.4820234,183
1659960720.80071,1280082.4820267,134
1659960720.80071,1280082.4820323,78
1659960720.80071,1280082.4820355,37
1659960720.80071,1280082.4820412,11
1659960720.80071,1280082.4820444,11
1659960720.80071,1280082.4820506,34
1659960720.80071,1280082.4820538,34
1659960720.80071,1280082.4820601,18
1659960720.80071,1280082.4820649,16
1659960720.80071,1280082.4820707,27
1659960720.80071,1280082.482074,55
1659960720.80071,1280082.4820797,64
1659960720.80071,1280082.4820829,48
1659960720.80071,1280082.4820884,25
1659960720.80071,1280082.4820917,9
1659960720.80071,1280082.4820972,23
1659960720.80071,1280082.4821007,48
1659960720.80071,1280082.4821063,57
1659960720.80071,1280082.4821093,46
1659960720.80071,1280082.4821128,39
1659960720.80071,1280082.4821254,53
1659960720.80071,1280082.4821385,71
1659960720.80071,1280082.4821474,64
1659960720.80071,1280082.4821518,34
1659960720.80071,1280083.0180313,27
1659960720.80071,1280083.0180519,41
1659960720.80071,1280083.0180618,44
1659960720.80071,1280083.0180671,34
1659960720.82665,1280083.0180721,44
1659960720.82665,1280083.0180768,55
1659960720.82665,1280083.0180814,32
1659960720.82665,1280083.0180861,20
1659960720.82665,1280083.0180905,46
1659960720.82665,1280083.0180977,51
1659960720.82665,1280083.0181078,37
1659960720.82665,1280083.0181187,30
1659960720.82665,1280083.0181253,13
1659960720.82665,1280083.0181313,27
1659960720.82665,1280083.0181417,62
1659960720.82665,1280083.0181479,27
1659960720.82665,1280083.0181524,-34
1659960720.82665,1280083.0181568,-16
1659960720.82665,1280083.0181628,30
1659960720.82665,1280083.0181678,25
1659960720.82665,1280083.0181722,44
1659960720.82665,1280083.0181767,292
1659960720.82665,1280083.0181822,667
1659960720.82665,1280083.0181879,596
1659960720.82665,1280083.0181949,20
1659960720.82665,1280083.0182019,-269
1659960720.82665,1280083.0182089,-46
1659960720.82665,1280083.0182182,97
1659960720.82665,1280083.0182268,20
1659960720.82665,1280083.0182342,6
1659960720.82665,1280083.0182407,46
1659960720.82665,1280083.0182532,27
1659960720.82665,1280083.0182613,41
1659960720.82665,1280083.0182697,109
1659960720.82665,1280083.0182767,113
1659960720.82665,1280083.0182841,60
1659960720.82665,1280083.0182927,41
1659960720.82665,1280083.0183034,85
1659960720.82665,1280083.0183125,134
1659960720.82665,1280083.018318,153
1659960720.82665,1280083.0183217,153
1659960720.82665,1280083.0183272,171
1659960720.82665,1280083.0183307,183
1659960720.82665,1280083.018336,155
1659960720.82665,1280083.0183397,153
1659960720.82665,1280083.0183448,231
1659960720.82665,1280083.0183483,303
1659960720.82665,1280083.0183539,278
1659960720.82665,1280083.0183572,245
1659960720.82665,1280083.0183625,252
1659960720.82665,1280083.0183658,241
1659960720.82665,1280083.0183709,222
1659960720.82665,1280083.0183744,180
1659960720.82665,1280083.0183794,120
1659960720.83861,1280083.0183828,104
1659960720.83861,1280083.0183877,97
1659960720.83861,1280083.018391,53
1659960720.83861,1280083.0183963,25
1659960720.83861,1280083.0184,-4
1659960720.83861,1280083.0184051,-44
1659960720.83861,1280083.0184085,-23
1659960720.83861,1280083.0184137,20
1659960720.83861,1280083.0184173,20
1659960720.83861,1280083.0184233,9
1659960720.83861,1280083.0184267,27
1659960720.83861,1280083.0184317,60
1659960720.83861,1280083.0184351,57
1659960720.83861,1280083.018442,55
1659960720.83861,1280083.0184456,92
1659960720.83861,1280083.0184508,95
1659960720.83861,1280083.0184564,41
1659960720.83861,1280083.0184617,39
1659960720.83861,1280083.0184653,83
1659960720.83861,1280083.6034589,95
1659960720.83861,1280083.6034777,97
1659960720.83861,1280083.6034863,106
1659960721.24219,1280083.6034912,111
1659960721.24219,1280083.6034949,102
1659960721.24219,1280083.6034979,57
1659960721.24219,1280083.6035015,6
1659960721.24219,1280083.6035047,4
1659960721.24219,1280083.6035094,41
1659960721.24219,1280083.6035131,53
1659960721.24219,1280083.6035165,11
1659960721.24219,1280083.6035197,-4
1659960721.24219,1280083.6035234,13
1659960721.24219,1280083.6035269,-16
1659960721.24219,1280083.6035311,-34
1659960721.24219,1280083.6035342,25
1659960721.24219,1280083.6035373,37
1659960721.24219,1280083.6035412,-2
1659960721.24219,1280083.6035458,11
1659960721.24219,1280083.6035517,37
1659960721.24219,1280083.6035555,25
1659960721.24219,1280083.6035608,41
1659960721.24219,1280083.6035695,51
1659960721.24219,1280083.6035769,11
1659960721.24219,1280083.6035829,25
1659960721.24219,1280083.603589,83
1659960721.24219,1280083.6035933,64
1659960721.24219,1280083.6035986,32
1659960721.24219,1280083.603603,164
1659960721.24219,1280083.6036093,491
1659960721.24219,1280083.6036129,723
1659960721.24219,1280083.6036182,438
1659960721.24219,1280083.6036219,-95
1659960721.24219,1280083.6036317,-157
1659960721.24219,1280083.603637,99
1659960721.24219,1280083.6036424,106
1659960721.24219,1280083.6036489,25
1659960721.24219,1280083.6036532,85
1659960721.24219,1280083.6036589,104
1659960721.24219,1280083.6036651,74
1659960721.24219,1280083.6036721,95
1659960721.24219,1280083.6036789,106
1659960721.24219,1280083.6036858,97
1659960721.24219,1280083.6036897,99
1659960721.24219,1280083.6036949,97
1659960721.24219,1280083.6036993,95
1659960721.24219,1280083.6037044,111
1659960721.24219,1280083.6037078,136
1659960721.24219,1280083.6037132,180
1659960721.24219,1280083.6037169,206
1659960721.24219,1280083.6037222,178
1659960721.24219,1280083.6037257,162
1659960721.24219,1280083.6037291,192
1659960721.26314,1280083.6037342,213
1659960721.26314,1280083.6037375,231
1659960721.26314,1280083.6037409,276
1659960721.26314,1280083.6037464,292
1659960721.26314,1280083.6037512,250
1659960721.26314,1280083.6037574,204
1659960721.26314,1280083.6037624,215
1659960721.26314,1280083.6037692,211
1659960721.26314,1280083.6037761,134
1659960721.26314,1280083.6037827,81
1659960721.26314,1280083.6037882,76
1659960721.26314,1280083.6037948,41
1659960721.26314,1280083.6038001,-9
1659960721.26314,1280083.6038042,-11
1659960721.26314,1280083.6038112,23
1659960721.26314,1280083.6038152,37
1659960721.26314,1280083.6038205,27
1659960721.26314,1280083.6038245,25
1659960721.26314,1280083.6038318,13
1659960721.26314,1280083.603838,9
1659960721.26314,1280084.1393766,41
1659960721.26314,1280084.1393943,55
1659960721.26314,1280084.1394009,41
1659960721.26314,1280084.139405,41
1659960721.91415,1280084.1394106,46
1659960721.91415,1280084.1394148,64
1659960721.91415,1280084.1394184,81
1659960721.91415,1280084.1394221,57
1659960721.91415,1280084.1394259,48
1659960721.91415,1280084.1394295,64
1659960721.91415,1280084.139433,37
1659960721.91415,1280084.1394366,13
1659960721.91415,1280084.1394404,20
1659960721.91415,1280084.139444,23
1659960721.91415,1280084.1394476,44
1659960721.91415,1280084.1394512,41
1659960721.91415,1280084.139455,-32
1659960721.91415,1280084.1394588,-71
1659960721.91415,1280084.1394625,-6
1659960721.91415,1280084.1394661,25
1659960721.91415,1280084.1394702,-27
1659960721.91415,1280084.1394738,-44
1659960721.91415,1280084.1394775,6
1659960721.91415,1280084.1394813,32
1659960721.91415,1280084.1394847,20
1659960721.91415,1280084.1394898,30
1659960721.91415,1280084.1394936,60
1659960721.91415,1280084.1394973,64
1659960721.91415,1280084.1395008,32
1659960721.91415,1280084.1395044,2
1659960721.91415,1280084.1395081,-9
1659960721.91415,1280084.1395119,-4
1659960721.91415,1280084.1395155,30
1659960721.91415,1280084.1395198,60
1659960721.91415,1280084.1395233,53
1659960721.91415,1280084.1395272,67
1659960721.91415,1280084.139531,208
1659960721.91415,1280084.1395346,510
1659960721.91415,1280084.1395383,626
1659960721.91415,1280084.1395419,201
1659960721.91415,1280084.1395456,-273
1659960721.91415,1280084.13955,-180
1659960721.91415,1280084.1395543,97
1659960721.91415,1280084.1395582,71
1659960721.91415,1280084.139562,-2
1659960721.91415,1280084.1395657,57
1659960721.91415,1280084.1395696,74
1659960721.91415,1280084.1395733,46
1659960721.91415,1280084.139577,69
1659960721.91415,1280084.1395809,111
1659960721.91415,1280084.1395845,97
1659960721.91415,1280084.139588,64
1659960721.91415,1280084.1395915,97
1659960721.91415,1280084.1395952,150
1659960721.92512,1280084.1395988,148
1659960721.92512,1280084.1396024,127
1659960721.92512,1280084.139606,139
1659960721.92512,1280084.1396096,180
1659960721.92512,1280084.1396133,220
1659960721.92512,1280084.139617,222
1659960721.92512,1280084.1396216,218
1659960721.92512,1280084.1396249,250
1659960721.92512,1280084.1396298,301
1659960721.92512,1280084.1396346,313
1659960721.92512,1280084.1396393,292
1659960721.92512,1280084.1396468,273
1659960721.92512,1280084.1396561,266
1659960721.92512,1280084.1396634,248
1659960721.92512,1280084.1396703,185
1659960721.92512,1280084.13968,118
1659960721.92512,1280084.1396867,83
1659960721.92512,1280084.1396917,46
1659960721.92512,1280084.1396974,27
1659960721.92512,1280084.8224982,25
1659960721.92512,1280084.8225177,4
1659960721.92512,1280084.8225293,-6
1659960721.92512,1280084.8225391,4
1659960721.92512,1280084.8225479,11
1659960722.40413,1280084.8225564,18
1659960722.40413,1280084.8225613,11
1659960722.40413,1280084.8225659,-11
1659960722.40413,1280084.8225693,-6
1659960722.40413,1280084.8225728,9
1659960722.40413,1280084.8225786,11
1659960722.40413,1280084.8225844,37
1659960722.40413,1280084.8225898,41
1659960722.40413,1280084.8225963,4
1659960722.40413,1280084.8226025,-2
1659960722.40413,1280084.8226076,9
1659960722.40413,1280084.8226123,23
1659960722.40413,1280084.8226193,46
1659960722.40413,1280084.8226258,41
1659960722.40413,1280084.822632,13
1659960722.40413,1280084.8226392,20
1659960722.40413,1280084.8226505,37
1659960722.40413,1280084.8226597,4
1659960722.40413,1280084.8226659,0
1659960722.40413,1280084.8226742,53
1659960722.40413,1280084.8226812,16
1659960722.40413,1280084.8226858,-64
1659960722.40413,1280084.8226891,-25
1659960722.40413,1280084.8226946,32
1659960722.40413,1280084.8226988,4
1659960722.40413,1280084.8227047,18
1659960722.40413,1280084.8227086,81
1659960722.40413,1280084.8227116,62
1659960722.40413,1280084.8227191,11
1659960722.40413,1280084.8227247,6
