Time,TimeLsl,Value
1660134585.41355,1453948.6450817,-4
1660134585.41355,1453948.6450973,-2
1660134585.41355,1453948.6451018,2
1660134585.41355,1453948.6451072,11
1660134585.41355,1453948.6451109,16
1660134585.41355,1453948.6451159,13
1660134585.41355,1453948.6451194,4
1660134585.41355,1453948.6451244,2
1660134585.41355,1453948.645128,2
1660134585.41355,1453948.6451331,4
1660134585.41355,1453948.6452354,4
1660134585.41355,1453948.6452446,0
1660134585.41355,1453948.6452671,-20
1660134585.41355,1453948.6452784,-41
1660134585.41355,1453948.6452855,-34
1660134585.41355,1453948.6452917,-23
1660134585.41355,1453948.6452978,-25
1660134585.41355,1453948.6453021,-25
1660134585.41355,1453948.6453077,-32
1660134585.41355,1453948.6453117,-53
1660134585.41355,1453948.6453175,-53
1660134585.41355,1453948.6453213,-37
1660134585.41355,1453948.6453251,-30
1660134585.41355,1453948.6453305,-32
1660134585.41355,1453948.6453344,-37
1660134585.41355,1453948.6453396,-46
1660134585.41355,1453948.6453436,-67
1660134585.41355,1453948.6453501,-83
1660134585.41355,1453948.6453539,-81
1660134585.41355,1453948.6453595,-67
1660134585.41355,1453948.6453644,-71
1660134585.41355,1453948.6453688,-95
1660134585.41355,1453948.6453725,-97
1660134585.41355,1453948.6453779,-76
1660134585.41355,1453948.6453817,-67
1660134585.41355,1453948.6453871,-67
1660134585.41355,1453948.6453911,-64
1660134585.41355,1453948.6453968,-62
1660134585.41355,1453948.6454006,-57
1660134585.41355,1453948.6454061,-53
1660134585.41355,1453948.6454101,-53
1660134585.41355,1453948.6454139,-53
1660134585.41355,1453948.6454174,-60
1660134585.41355,1453948.6454215,-74
1660134585.41355,1453948.6454252,-71
1660134585.41355,1453948.6454288,-62
1660134585.41355,1453948.6454326,-57
1660134585.41355,1453948.6454362,-57
1660134585.41355,1453948.6454398,-60
1660134585.41355,1453948.6454434,-62
1660134585.52277,1453948.6454472,-64
1660134585.52277,1453948.6454506,-64
1660134585.52277,1453948.6454546,-55
1660134585.52277,1453948.6454584,-34
1660134585.52277,1453948.6454624,-9
1660134585.52277,1453948.6454662,2
1660134585.52277,1453948.64547,16
1660134585.52277,1453948.6454737,20
1660134585.52277,1453948.6454773,-13
1660134585.52277,1453948.6454821,-39
1660134585.52277,1453948.6454879,-16
1660134585.52277,1453948.6454916,-9
1660134585.52277,1453948.6454955,-25
1660134585.52277,1453948.6454992,-20
1660134585.52277,1453948.6455046,-4
1660134585.52277,1453948.6455085,-4
1660134585.52277,1453948.6455138,0
1660134585.52277,1453948.6455178,11
1660134585.52277,1453948.6455229,16
1660134585.52277,1453948.6455269,0
1660134585.52277,1453948.6455325,-30
1660134585.52277,1453948.6455363,85
1660134585.52277,1453948.6455427,744
1660134585.52277,1453949.1325624,1567
1660134585.52277,1453949.1325807,943
1660134585.52277,1453949.1325905,-783
1660134585.52277,1453949.1325971,-1173
1660134585.52277,1453949.1326031,-380
1660134585.52277,1453949.1326071,-76
1660134585.52277,1453949.1326125,-90
1660134585.52277,1453949.1326164,67
1660134585.52277,1453949.1326222,115
1660134585.52277,1453949.1326273,34
1660134585.52277,1453949.132631,46
1660134585.52277,1453949.1326362,90
1660134585.52277,1453949.1326414,81
1660134585.52277,1453949.132645,81
1660134585.52277,1453949.132649,106
1660134585.52277,1453949.1326541,113
1660134585.52277,1453949.1326587,109
1660134585.52277,1453949.1326641,111
1660134585.52277,1453949.1326697,113
1660134585.52277,1453949.1326754,109
1660134585.52277,1453949.1326805,102
1660134585.52277,1453949.132684,104
1660134585.52277,1453949.1326878,111
1660134585.52277,1453949.1326934,118
1660134585.52277,1453949.1326981,139
1660134585.52277,1453949.1327029,162
1660134585.52277,1453949.1327085,192
1660134585.56072,1453949.1327127,227
1660134585.56072,1453949.1327164,259
1660134585.56072,1453949.1327201,292
1660134585.56072,1453949.1327261,329
1660134585.56072,1453949.1327299,359
1660134585.56072,1453949.1327334,375
1660134585.56072,1453949.1327371,378
1660134585.56072,1453949.1327416,361
1660134585.56072,1453949.1327455,322
1660134585.56072,1453949.1327491,257
1660134585.56072,1453949.1327528,173
1660134585.56072,1453949.1327561,88
1660134585.56072,1453949.1327598,20
1660134585.56072,1453949.1327636,-30
1660134585.56072,1453949.1327674,-67
1660134585.56072,1453949.1327711,-88
1660134585.56072,1453949.1327749,-92
1660134585.56072,1453949.1327786,-97
1660134585.56072,1453949.1327822,-97
1660134585.56072,1453949.1327856,-95
1660134585.56072,1453949.1327893,-92
1660134585.56072,1453949.1327932,-88
1660134585.56072,1453949.132797,-83
1660134585.56072,1453949.1328006,-78
1660134585.56072,1453949.1328044,-62
1660134585.56072,1453949.1328081,-48
1660134585.56072,1453949.1328117,-44
1660134585.56072,1453949.1328153,-37
1660134585.56072,1453949.1328202,-23
1660134585.56072,1453949.1328239,-6
1660134585.56072,1453949.1328275,2
1660134585.56072,1453949.1328314,11
1660134585.56072,1453949.1328361,13
1660134585.56072,1453949.13284,9
1660134585.56072,1453949.1328459,9
