Time,TimeLsl,Value
1660299416.92044,15513.6311897,16
1660299416.92044,15513.6312079,18
1660299416.92044,15513.6312183,23
1660299416.92044,15513.6312265,35
1660299416.92044,15513.6312364,39
1660299416.92044,15513.6312667,46
1660299416.92044,15513.6313207,49
1660299416.92044,15513.6313249,32
1660299416.92044,15513.6313282,11
1660299416.92044,15513.6313315,14
1660299416.92044,15513.6313349,25
1660299416.92044,15513.6313382,14
1660299416.92044,15513.6313418,-7
1660299416.92044,15513.6313469,-16
1660299416.92044,15513.6313503,-32
1660299416.92044,15513.6313536,-35
1660299416.92044,15513.6313568,4
1660299416.92044,15513.6313601,23
1660299416.92044,15513.6313635,-2
1660299416.92044,15513.6313667,-14
1660299416.92044,15513.63137,-11
1660299416.92044,15513.6313732,-30
1660299416.92044,15513.6313761,-35
1660299416.92044,15513.6313802,-18
1660299416.92044,15513.631384,-9
1660299416.92044,15513.6313879,-7
1660299416.92044,15513.6313932,2
1660299416.92044,15513.6313979,2
1660299416.92044,15513.6314041,-7
1660299416.92044,15513.6314072,-37
1660299416.92044,15513.6314103,-46
1660299416.92044,15513.6314133,175
1660299416.92044,15513.6314175,686
1660299416.92044,15513.6314215,1095
1660299416.92044,15513.631427,927
1660299416.92044,15513.6314346,207
1660299416.92044,15513.6314422,-261
1660299416.92044,15513.6314491,-67
1660299416.92044,15513.6314561,86
1660299416.92044,15513.6314626,-63
1660299416.92044,15513.6314677,-79
1660299416.92044,15513.6314732,2
1660299416.92044,15513.631477,-16
1660299416.92044,15513.6314804,-28
1660299416.92044,15513.6314833,4
1660299416.92044,15513.6314862,9
1660299416.92044,15513.6314891,9
1660299416.92044,15513.631492,35
1660299416.92044,15513.6314949,51
1660299416.92044,15513.6314977,56
1660299417.05081,15513.6315006,63
1660299417.05081,15513.6315034,70
1660299417.05081,15513.6315063,95
1660299417.05081,15513.631509,126
1660299417.05081,15513.6315119,151
1660299417.05081,15513.6315147,186
1660299417.05081,15513.6315176,219
1660299417.05081,15513.6315206,228
1660299417.05081,15513.6315235,235
1660299417.05081,15513.6315264,242
1660299417.05081,15513.6315312,242
1660299417.05081,15513.6315371,228
1660299417.05081,15513.6315412,186
1660299417.05081,15513.6315446,126
1660299417.05081,15513.6315475,63
1660299417.05081,15513.6315511,16
1660299417.05081,15513.6315562,-11
1660299417.05081,15513.6315623,-25
1660299417.05081,15513.6315678,-35
1660299417.05081,15513.631577,-39
1660299417.05081,15513.6315835,-39
1660299417.05081,15513.6315888,-32
1660299417.05081,15513.6315936,-23
1660299417.05081,15514.1667693,-9
1660299417.05081,15514.166787,-7
1660299417.05081,15514.1667945,-7
1660299417.05081,15514.1668005,-4
1660299417.05081,15514.1668069,-11
1660299417.05081,15514.1668138,-11
1660299417.05081,15514.1668241,9
1660299417.05081,15514.1668317,21
1660299417.05081,15514.166836,14
1660299417.05081,15514.1668401,11
1660299417.05081,15514.1668449,0
1660299417.05081,15514.1668504,-14
1660299417.05081,15514.1668583,-7
1660299417.05081,15514.1668715,9
1660299417.05081,15514.1668785,7
1660299417.05081,15514.1668829,7
1660299417.05081,15514.1668865,4
1660299417.05081,15514.1668901,-11
1660299417.05081,15514.1668939,-21
1660299417.05081,15514.1668985,-9
1660299417.05081,15514.1669031,-2
1660299417.05081,15514.1669071,14
1660299417.05081,15514.1669105,51
1660299417.05081,15514.1669143,63
1660299417.05081,15514.1669183,39
1660299417.05081,15514.1669221,35
1660299417.05081,15514.1669263,44
1660299417.11589,15514.1669315,30
1660299417.11589,15514.1669371,23
1660299417.11589,15514.1669407,32
1660299417.11589,15514.1669436,39
1660299417.11589,15514.1669465,42
1660299417.11589,15514.1669493,49
1660299417.11589,15514.1669522,56
1660299417.11589,15514.1669549,51
1660299417.11589,15514.1669579,21
1660299417.11589,15514.1669611,-2
1660299417.11589,15514.1669638,147
1660299417.11589,15514.1669667,581
1660299417.11589,15514.1669695,1039
1660299417.11589,15514.1669722,1046
1660299417.11589,15514.166975,427
1660299417.11589,15514.1669778,-158
1660299417.11589,15514.1669807,-81
1660299417.11589,15514.1669836,130
1660299417.11589,15514.1669865,28
1660299417.11589,15514.1669893,-23
1660299417.11589,15514.1669921,56
1660299417.11589,15514.166995,49
1660299417.11589,15514.1669979,14
1660299417.11589,15514.1670008,32
1660299417.11589,15514.1670035,44
1660299417.11589,15514.1670064,53
1660299417.11589,15514.1670091,65
1660299417.11589,15514.167012,72
1660299417.11589,15514.1670148,84
1660299417.11589,15514.1670177,100
1660299417.11589,15514.1670205,116
1660299417.11589,15514.1670233,135
1660299417.11589,15514.1670261,158
1660299417.11589,15514.1670289,189
1660299417.11589,15514.1670317,212
1660299417.11589,15514.1670344,231
1660299417.11589,15514.1670373,254
1660299417.11589,15514.1670401,270
1660299417.11589,15514.1670429,277
1660299417.11589,15514.1670458,282
1660299417.11589,15514.1670486,263
1660299417.11589,15514.1670514,214
1660299417.11589,15514.1670542,151
1660299417.11589,15514.167057,86
1660299417.11589,15514.1670598,35
1660299417.11589,15514.1670626,-7
1660299417.11589,15514.8515741,-39
1660299417.11589,15514.8515915,-58
1660299417.11589,15514.8515967,-58
1660299417.11589,15514.8516021,-49
1660299417.13683,15514.8516061,-46
1660299417.13683,15514.8516104,-37
1660299417.13683,15514.8516147,-32
1660299417.39425,15514.8516187,-49
1660299417.39425,15514.8516225,-60
1660299417.39425,15514.8516263,-46
1660299417.39425,15514.8516313,-25
1660299417.39425,15514.8516354,-18
1660299417.39425,15514.8516389,-9
1660299417.39425,15514.8516423,-16
1660299417.39425,15514.851646,-30
1660299417.39425,15514.8516501,-23
1660299417.39425,15514.8516564,-7
1660299417.39425,15514.8516616,2
1660299417.39425,15514.8516678,11
1660299417.39425,15514.8516718,16
1660299417.39425,15514.8516777,16
1660299417.39425,15514.8516828,18
1660299417.39425,15514.8516885,23
1660299417.39425,15514.8516946,32
1660299417.39425,15514.8517006,37
1660299417.39425,15514.851705,32
1660299417.39425,15514.8517089,28
1660299417.39425,15514.8517146,32
1660299417.39425,15514.8517196,56
1660299417.39425,15514.8517264,93
1660299417.39425,15514.8517301,102
1660299417.39425,15514.8517339,79
1660299417.39425,15514.8517394,67
1660299417.39425,15514.8517465,65
1660299417.39425,15514.8517504,58
1660299417.39425,15514.8517559,49
1660299417.39425,15514.8517595,53
1660299417.39425,15514.8517633,63
1660299417.39425,15514.851767,67
1660299417.39425,15514.8517708,70
1660299417.39425,15514.8517745,70
1660299417.39425,15514.8517801,74
1660299417.39425,15514.8517839,60
1660299417.39425,15514.8517876,16
1660299417.39425,15514.8517913,81
1660299417.39425,15514.851795,432
1660299417.39425,15514.8517987,910
1660299417.39425,15514.8518046,1081
1660299417.39425,15514.8518083,639
1660299417.39425,15514.8518137,-18
1660299417.39425,15514.8518192,-121
1660299417.39425,15514.8518244,121
1660299417.39425,15514.8518282,95
1660299417.39425,15514.851833,-4
1660299417.39425,15514.8518368,56
1660299417.39425,15514.8518427,84
1660299417.39425,15514.8518463,51
1660299417.44873,15514.8518501,60
1660299417.44873,15514.8518556,72
1660299417.44873,15514.8518593,67
1660299417.44873,15514.8518648,72
1660299417.44873,15514.8518697,77
1660299417.44873,15514.8518751,70
1660299417.44873,15514.8518789,72
1660299417.44873,15514.8518851,91
1660299417.44873,15514.8518891,107
1660299417.44873,15514.851893,126
1660299417.44873,15514.8518985,156
1660299417.44873,15514.8519031,179
1660299417.44873,15514.8519069,200
1660299417.44873,15514.8519148,226
1660299417.44873,15514.8519185,249
1660299417.44873,15514.851923,256
1660299417.44873,15515.3860846,256
1660299417.44873,15515.3861021,249
1660299417.44873,15515.3861125,226
1660299417.8769,15515.386122,177
1660299417.8769,15515.3861286,109
1660299417.8769,15515.3861336,51
1660299417.8769,15515.3861381,14
1660299417.8769,15515.3861444,-14
1660299417.8769,15515.3861493,-28
1660299417.8769,15515.3861539,-30
1660299417.8769,15515.3861594,-42
1660299417.8769,15515.3861633,-58
1660299417.8769,15515.3861699,-51
1660299417.8769,15515.3861792,-32
1660299417.8769,15515.3861861,-25
1660299417.8769,15515.3861969,-21
1660299417.8769,15515.3862075,-25
1660299417.8769,15515.3862158,-42
1660299417.8769,15515.3862248,-44
1660299417.8769,15515.3862354,-23
1660299417.8769,15515.3862435,-9
1660299417.8769,15515.3862531,-4
1660299417.8769,15515.3862639,7
1660299417.8769,15515.3862712,9
1660299417.8769,15515.3862824,9
1660299417.8769,15515.3862926,18
1660299417.8769,15515.3863029,25
1660299417.8769,15515.3863136,28
1660299417.8769,15515.3863222,42
1660299417.8769,15515.386331,44
1660299417.8769,15515.3863417,30
1660299417.8769,15515.3863498,35
1660299417.8769,15515.3863599,56
1660299417.8769,15515.3863707,60
1660299417.8769,15515.3863788,53
1660299417.8769,15515.3863911,42
1660299417.8769,15515.3864021,30
1660299417.8769,15515.3864096,51
1660299417.8769,15515.3864207,93
1660299417.8769,15515.3864309,95
1660299417.8769,15515.3864361,77
1660299417.8769,15515.386449,72
