Time,TimeLsl,Value
1660203163.11763,1522528.2791704,39
1660203163.11763,1522528.2791933,23
1660203163.11763,1522528.2792009,18
1660203163.11763,1522528.2792066,25
1660203163.11763,1522528.2792109,37
1660203163.11763,1522528.2792164,44
1660203163.11763,1522528.2792204,51
1660203163.11763,1522528.279226,51
1660203163.11763,1522528.2792301,37
1660203163.11763,1522528.2792388,14
1660203163.11763,1522528.2792471,11
1660203163.11763,1522528.2792545,21
1660203163.11763,1522528.2792586,25
1660203163.11763,1522528.2792646,32
1660203163.11763,1522528.2792684,32
1660203163.11763,1522528.2792737,28
1660203163.11763,1522528.27928,35
1660203163.11763,1522528.2792899,42
1660203163.11763,1522528.2792994,32
1660203163.11763,1522528.2794109,18
1660203163.11763,1522528.2794232,16
1660203163.11763,1522528.2794301,11
1660203163.11763,1522528.2794341,0
1660203163.11763,1522528.2794393,2
1660203163.11763,1522528.2794429,14
1660203163.11763,1522528.2794483,16
1660203163.11763,1522528.2794521,21
1660203163.11763,1522528.2794569,30
1660203163.11763,1522528.2794606,28
1660203163.11763,1522528.2794698,25
1660203163.11763,1522528.2794755,37
1660203163.11763,1522528.2794793,25
1660203163.11763,1522528.2794847,-4
1660203163.11763,1522528.2794886,-7
1660203163.11763,1522528.2794946,0
1660203163.11763,1522528.2794986,-4
1660203163.11763,1522528.2795038,4
1660203163.11763,1522528.2795115,16
1660203163.11763,1522528.2795169,16
1660203163.11763,1522528.279521,18
1660203163.11763,1522528.2795263,30
1660203163.11763,1522528.2795313,39
1660203163.11763,1522528.279535,51
1660203163.11763,1522528.2795386,65
1660203163.11763,1522528.2795421,72
1660203163.11763,1522528.2795456,87
1660203163.11763,1522528.2795495,202
1660203163.11763,1522528.2795531,458
1660203163.11763,1522528.2795566,682
1660203163.11763,1522528.2795601,649
1660203163.28593,1522528.2795638,345
1660203163.28593,1522528.2795674,75
1660203163.28593,1522528.2795708,65
1660203163.28593,1522528.2795743,108
1660203163.28593,1522528.2795787,49
1660203163.28593,1522528.279582,30
1660203163.28593,1522528.2795862,58
1660203163.28593,1522528.2795919,54
1660203163.28593,1522528.2795969,49
1660203163.28593,1522528.2796024,68
1660203163.28593,1522528.279608,70
1660203163.28593,1522528.2796155,68
1660203163.28593,1522528.2796216,77
1660203163.28593,1522528.2796251,89
1660203163.28593,1522528.2796303,96
1660203163.28593,1522528.2796345,94
1660203163.28593,1522528.2796399,82
1660203163.28593,1522528.2796436,82
1660203163.28593,1522528.2796491,94
1660203163.28593,1522528.2796528,103
1660203163.28593,1522528.2796582,110
1660203163.28593,1522528.2796614,117
1660203163.28593,1522528.2796647,119
1660203163.28593,1522528.8170531,119
1660203163.28593,1522528.8170739,131
1660203163.28593,1522528.817082,145
1660203163.28593,1522528.8170882,155
1660203163.28593,1522528.8170946,169
1660203163.28593,1522528.8171049,181
1660203163.28593,1522528.8171095,185
1660203163.28593,1522528.8171147,188
1660203163.28593,1522528.8171233,199
1660203163.28593,1522528.8171315,206
1660203163.28593,1522528.8171392,211
1660203163.28593,1522528.8171476,209
1660203163.28593,1522528.8171554,183
1660203163.28593,1522528.8171626,148
1660203163.28593,1522528.8171717,131
1660203163.28593,1522528.8171799,103
1660203163.28593,1522528.8171862,63
1660203163.28593,1522528.8171964,32
1660203163.28593,1522528.8172194,-4
1660203163.28593,1522528.8172464,-32
1660203163.28593,1522528.8172567,-30
1660203163.28593,1522528.8172604,-21
1660203163.28593,1522528.8172636,-23
1660203163.28593,1522528.8172665,-16
1660203163.28593,1522528.8172694,-9
1660203163.28593,1522528.8172727,-16
1660203163.28593,1522528.817276,-21
1660203163.33879,1522528.8172816,-7
1660203163.33879,1522528.8172912,2
1660203163.33879,1522528.817297,11
1660203163.33879,1522528.8173003,14
1660203163.33879,1522528.8173034,4
1660203163.33879,1522528.8173064,4
1660203163.33879,1522528.8173094,23
1660203163.33879,1522528.8173124,35
1660203163.33879,1522528.8173166,39
1660203163.33879,1522528.81732,42
1660203163.33879,1522528.817325,35
1660203163.33879,1522528.8173298,28
1660203163.33879,1522528.8173331,37
1660203163.33879,1522528.8173361,47
1660203163.33879,1522528.8173389,47
1660203163.33879,1522528.8173418,39
1660203163.33879,1522528.8173447,37
1660203163.33879,1522528.8173477,37
1660203163.33879,1522528.8173505,44
1660203163.33879,1522528.8173533,49
1660203163.33879,1522528.8173562,51
1660203163.33879,1522528.8173591,49
1660203163.33879,1522528.8173655,44
1660203163.33879,1522528.8173686,32
1660203163.33879,1522528.8173716,28
1660203163.33879,1522528.8173744,39
1660203163.33879,1522528.8173773,54
1660203163.33879,1522528.8173801,63
1660203163.33879,1522528.817383,79
1660203163.33879,1522528.8173859,94
1660203163.33879,1522528.8173888,91
1660203163.33879,1522528.8173925,68
1660203163.33879,1522528.8174063,28
1660203163.33879,1522528.8174157,9
1660203163.33879,1522528.8174288,14
1660203163.33879,1522528.8174359,11
1660203163.33879,1522528.8174408,9
1660203163.33879,1522528.8174473,23
1660203163.33879,1522528.8174506,32
1660203163.33879,1522528.8174637,35
1660203163.33879,1522528.8174763,42
1660203163.33879,1522528.8174884,51
1660203163.33879,1522528.8174979,54
1660203163.33879,1522528.817506,61
1660203163.33879,1522528.8175109,84
1660203163.33879,1522528.8175229,96
1660203163.33879,1522529.4001307,159
1660203163.33879,1522529.4001468,378
1660203163.33879,1522529.4001538,644
1660203163.33879,1522529.4001576,670
1660203163.36125,1522529.4001612,378
1660203163.36125,1522529.4001647,91
1660203163.36125,1522529.4001683,72
1660203163.36125,1522529.4001719,122
1660203163.36125,1522529.4001754,58
1660203163.36125,1522529.4001794,11
1660203163.36125,1522529.4001833,28
1660203163.36125,1522529.4001868,35
1660203163.36125,1522529.400192,21
1660203163.36125,1522529.4001957,30
1660203163.36125,1522529.4002007,44
1660203163.36125,1522529.4002044,28
1660203163.36125,1522529.4002095,18
1660203163.36125,1522529.4002131,30
1660203163.36125,1522529.4002183,39
1660203163.36125,1522529.400222,44
1660203163.36125,1522529.400227,54
1660203163.36125,1522529.4002306,54
1660203163.36125,1522529.4002355,51
1660203163.36125,1522529.4002393,61
1660203163.36125,1522529.4002444,75
1660203163.36125,1522529.4002481,79
1660203163.36125,1522529.4002532,91
1660203163.36125,1522529.4002568,101
1660203163.36125,1522529.400262,105
1660203163.36125,1522529.4002657,112
1660203163.36125,1522529.4002718,124
1660203163.36125,1522529.4002755,134
1660203163.36125,1522529.4002805,138
1660203163.36125,1522529.4002843,145
1660203163.36125,1522529.4002893,157
1660203163.36125,1522529.400293,169
1660203163.36125,1522529.4002981,178
1660203163.36125,1522529.4003018,185
1660203163.36125,1522529.4003068,197
1660203163.36125,1522529.4003104,206
1660203163.36125,1522529.4003142,197
1660203163.36125,1522529.4003197,171
1660203163.36125,1522529.4003235,138
1660203163.36125,1522529.4003287,103
1660203163.36125,1522529.4003323,77
1660203163.36125,1522529.4003359,65
1660203163.36125,1522529.4003396,58
1660203163.36125,1522529.4003449,42
1660203163.36125,1522529.4003486,35
1660203163.36125,1522529.4003537,42
1660203163.36125,1522529.4003572,49
1660203163.36125,1522529.4003609,47
1660203163.36125,1522529.4003658,32
1660203163.36125,1522529.4003694,25
1660203163.37421,1522529.4003746,25
1660203163.37421,1522529.4003783,25
1660203163.37421,1522529.4003833,30
1660203163.37421,1522529.4003869,37
1660203163.37421,1522529.4003919,44
1660203163.37421,1522529.4003955,47
1660203163.37421,1522529.4004006,47
1660203163.37421,1522529.4004042,47
1660203163.37421,1522529.4004107,49
1660203163.37421,1522529.4004167,56
1660203163.37421,1522529.4004242,56
1660203163.37421,1522529.400432,47
1660203163.37421,1522529.4004567,39
1660203163.37421,1522529.4004742,44
1660203163.37421,1522529.4004829,51
1660203163.37421,1522529.4004908,56
1660203163.37421,1522529.4004995,58
1660203163.37421,1522529.4005073,61
1660203163.37421,1522529.4005154,58
1660203163.37421,1522529.939103,63
1660203163.37421,1522529.9391202,72
1660203163.37421,1522529.9391293,75
1660203163.79821,1522529.9391407,68
1660203163.79821,1522529.9391464,61
1660203163.79821,1522529.9391509,51
1660203163.79821,1522529.9391559,37
1660203163.79821,1522529.9391616,37
1660203163.79821,1522529.9391666,51
1660203163.79821,1522529.939172,61
1660203163.79821,1522529.9391813,89
1660203163.79821,1522529.9391869,94
1660203163.79821,1522529.9391907,54
1660203163.79821,1522529.9391942,25
1660203163.79821,1522529.9391978,14
1660203163.79821,1522529.9392015,0
1660203163.79821,1522529.9392051,2
1660203163.79821,1522529.9392088,9
1660203163.79821,1522529.9392127,-11
1660203163.79821,1522529.9392163,-37
1660203163.79821,1522529.9392199,-25
1660203163.79821,1522529.9392235,-4
1660203163.79821,1522529.9392272,2
1660203163.79821,1522529.9392308,0
1660203163.79821,1522529.9392343,-7
1660203163.79821,1522529.9392378,0
1660203163.79821,1522529.9392413,25
1660203163.79821,1522529.9392448,47
1660203163.79821,1522529.9392484,122
1660203163.79821,1522529.9392539,355
1660203163.79821,1522529.9392598,625
1660203163.79821,1522529.9392679,651
1660203163.79821,1522529.9392748,350
1660203163.79821,1522529.9392811,56
1660203163.79821,1522529.9392853,51
1660203163.79821,1522529.9392886,101
1660203163.79821,1522529.9392918,44
1660203163.79821,1522529.9392967,18
1660203163.79821,1522529.9393021,44
1660203163.79821,1522529.9393061,49
1660203163.79821,1522529.9393101,51
1660203163.79821,1522529.939314,58
1660203163.79821,1522529.9393177,63
1660203163.79821,1522529.9393218,72
1660203163.79821,1522529.9393259,72
1660203163.79821,1522529.9393293,63
1660203163.79821,1522529.9393331,68
1660203163.79821,1522529.9393366,84
1660203163.79821,1522529.9393404,89
1660203163.79821,1522529.939344,89
1660203163.79821,1522529.9393474,94
1660203163.79821,1522529.9393508,103
1660203163.79821,1522529.9393544,112
1660203163.81018,1522529.9393623,115
1660203163.81018,1522529.9393704,122
1660203163.81018,1522529.9393785,131
1660203163.81018,1522529.9393845,127
1660203163.81018,1522529.9393902,131
1660203163.81018,1522529.9393941,152
1660203163.81018,1522529.9394012,159
1660203163.81018,1522529.9394091,162
1660203163.81018,1522529.9394169,178
1660203163.81018,1522529.9394268,197
1660203163.81018,1522529.9394348,206
1660203163.81018,1522529.9394415,204
1660203163.81018,1522529.9394482,211
1660203163.81018,1522529.939457,228
1660203163.81018,1522529.9394648,235
1660203163.81018,1522529.9394725,221
1660203163.81018,1522529.9394791,192
1660203163.81018,1522529.939487,159
1660203163.81018,1522529.9394955,124
1660203163.81018,1522529.9395037,98
1660203163.81018,1522530.5212274,84
1660203163.81018,1522530.5212425,72
1660203163.81018,1522530.5212464,61
1660203163.81018,1522530.5212519,54
1660203164.43242,1522530.5212553,54
1660203164.43242,1522530.5212587,56
1660203164.43242,1522530.521262,63
1660203164.43242,1522530.5212653,70
1660203164.43242,1522530.5212686,58
1660203164.43242,1522530.5212718,32
1660203164.43242,1522530.5212751,23
1660203164.43242,1522530.5212785,30
1660203164.43242,1522530.5212818,37
1660203164.43242,1522530.5212851,37
1660203164.43242,1522530.5212885,25
1660203164.43242,1522530.5212918,2
1660203164.43242,1522530.5212955,-16
1660203164.43242,1522530.5212988,-4
1660203164.43242,1522530.5213022,9
1660203164.43242,1522530.5213055,9
1660203164.43242,1522530.5213089,16
1660203164.43242,1522530.5213122,18
1660203164.43242,1522530.5213154,7
1660203164.43242,1522530.521319,9
1660203164.43242,1522530.5213224,21
1660203164.43242,1522530.5213257,25
1660203164.43242,1522530.521329,30
1660203164.43242,1522530.5213322,32
1660203164.43242,1522530.5213356,25
1660203164.43242,1522530.5213389,28
1660203164.43242,1522530.5213421,39
1660203164.43242,1522530.5213454,42
1660203164.43242,1522530.5213501,37
1660203164.43242,1522530.5213554,35
1660203164.43242,1522530.5213598,28
1660203164.43242,1522530.5213648,23
1660203164.43242,1522530.5213685,30
1660203164.43242,1522530.5213734,42
1660203164.43242,1522530.5213768,42
1660203164.43242,1522530.5213819,42
1660203164.43242,1522530.5213854,35
1660203164.43242,1522530.5213903,9
1660203164.43242,1522530.5213943,-9
1660203164.43242,1522530.5213994,-2
1660203164.43242,1522530.5214028,4
1660203164.43242,1522530.5214063,7
1660203164.43242,1522530.521411,4
1660203164.43242,1522530.5214143,2
1660203164.43242,1522530.5214178,9
1660203164.43242,1522530.5214227,16
1660203164.43242,1522530.5214263,21
1660203164.43242,1522530.5214311,32
1660203164.43242,1522530.5214346,47
1660203164.43242,1522530.5214382,56
1660203164.44339,1522530.5214429,68
1660203164.44339,1522530.5214462,127
1660203164.44339,1522530.5214497,303
1660203164.44339,1522530.5214546,543
1660203164.44339,1522530.5214583,646
1660203164.44339,1522530.5214632,465
1660203164.44339,1522530.5214666,157
1660203164.44339,1522530.52147,58
1660203164.44339,1522530.5214751,119
1660203164.44339,1522530.5214787,96
1660203164.44339,1522530.5214839,44
1660203164.44339,1522530.5214876,61
1660203164.44339,1522530.521491,70
1660203164.44339,1522530.5214947,58
1660203164.44339,1522530.5214982,72
1660203164.44339,1522530.5215019,87
1660203164.44339,1522530.5215076,87
1660203164.44339,1522530.5215111,91
1660203164.44339,1522530.5215161,101
1660203164.44339,1522531.1556441,98
1660203164.44339,1522531.1557008,108
1660203164.44339,1522531.155713,122
1660203164.44339,1522531.1557245,127
1660203164.44339,1522531.1557333,129
1660203164.91986,1522531.1557957,129
1660203164.91986,1522531.1558028,119
1660203164.91986,1522531.1558086,127
1660203164.91986,1522531.1558137,138
1660203164.91986,1522531.1558186,134
1660203164.91986,1522531.155824,138
1660203164.91986,1522531.1558298,150
1660203164.91986,1522531.1558359,138
1660203164.91986,1522531.1558399,129
1660203164.91986,1522531.1558467,148
1660203164.91986,1522531.1558569,159
1660203164.91986,1522531.1558631,169
1660203164.91986,1522531.1558691,185
1660203164.91986,1522531.1558751,178
1660203164.91986,1522531.1558833,155
