Time,TimeLsl,Value
1660221369.93009,1540734.8720049,179
1660221369.93009,1540734.8720252,160
1660221369.93009,1540734.8720296,150
1660221369.93009,1540734.8720378,124
1660221369.93009,1540734.8720441,134
1660221369.93009,1540734.8720487,155
1660221369.93009,1540734.872053,124
1660221369.93009,1540734.8720571,94
1660221369.93009,1540734.8720614,101
1660221369.93009,1540734.8720656,108
1660221369.93009,1540734.8720704,94
1660221369.93009,1540734.8720757,80
1660221369.93009,1540734.8720807,73
1660221369.93009,1540734.8720857,77
1660221369.93009,1540734.8720932,73
1660221369.93009,1540734.8721937,28
1660221369.93009,1540734.8722078,-18
1660221369.93009,1540734.8722152,-32
1660221369.93009,1540734.8722184,-54
1660221369.93009,1540734.8722304,-82
1660221369.93009,1540734.8722378,-80
1660221369.93009,1540734.8722442,-75
1660221369.93009,1540734.8722572,-106
1660221369.93009,1540734.8722657,-131
1660221369.93009,1540734.8722723,-113
1660221369.93009,1540734.8722795,-77
1660221369.93009,1540734.8722916,-56
1660221369.93009,1540734.8722994,-49
1660221369.93009,1540734.8723028,-54
1660221369.93009,1540734.8723077,-61
1660221369.93009,1540734.8723188,-35
1660221369.93009,1540734.8723265,-4
1660221369.93009,1540734.8723388,-7
1660221369.93009,1540734.8723473,-11
1660221369.93009,1540734.8723519,7
1660221369.93009,1540734.8723578,7
1660221369.93009,1540734.8723649,-2
1660221369.93009,1540734.8723714,11
1660221369.93009,1540734.8723786,14
1660221369.93009,1540734.8723821,2
1660221369.93009,1540734.8723885,4
1660221369.93009,1540734.8723946,16
1660221369.93009,1540734.8723983,16
1660221369.93009,1540734.8724016,14
1660221369.93009,1540734.8724084,14
1660221369.93009,1540734.8724124,11
1660221369.93009,1540734.872418,21
1660221369.93009,1540734.8724245,25
1660221369.93009,1540734.8724313,14
1660221369.93009,1540734.8724388,11
1660221370.06754,1540734.8724437,18
1660221370.06754,1540734.8724499,21
1660221370.06754,1540734.8724565,23
1660221370.06754,1540734.8724646,18
1660221370.06754,1540734.8724701,11
1660221370.06754,1540734.872479,16
1660221370.06754,1540734.8724854,28
1660221370.06754,1540734.8724922,37
1660221370.06754,1540734.8724975,42
1660221370.06754,1540734.8725053,32
1660221370.06754,1540734.8725111,30
1660221370.06754,1540734.872519,30
1660221370.06754,1540734.8725257,21
1660221370.06754,1540734.8725286,16
1660221370.06754,1540734.8725315,23
1660221370.06754,1540734.8725343,23
1660221370.06754,1540734.8725371,28
1660221370.06754,1540734.8725402,35
1660221370.06754,1540734.8725431,44
1660221370.06754,1540734.8725459,70
1660221370.06754,1540734.8725488,84
1660221370.06754,1540734.8725516,94
1660221370.06754,1540734.8725545,108
1660221370.06754,1540735.4570751,103
1660221370.06754,1540735.4570913,94
1660221370.06754,1540735.4570964,106
1660221370.06754,1540735.4571024,113
1660221370.06754,1540735.4571066,131
1660221370.06754,1540735.4571105,124
1660221370.06754,1540735.4571145,-87
1660221370.06754,1540735.4571185,-494
1660221370.06754,1540735.4571238,-643
1660221370.06754,1540735.457127,-273
1660221370.06754,1540735.457131,181
1660221370.06754,1540735.457134,287
1660221370.06754,1540735.4571374,153
1660221370.06754,1540735.4571412,65
1660221370.06754,1540735.4571442,68
1660221370.06754,1540735.4571494,54
1660221370.06754,1540735.457154,14
1660221370.06754,1540735.4571588,4
1660221370.06754,1540735.4571649,21
1660221370.06754,1540735.457171,25
1660221370.06754,1540735.457175,16
1660221370.06754,1540735.4571807,16
1660221370.06754,1540735.4571854,25
1660221370.06754,1540735.4571928,21
1660221370.06754,1540735.4572001,16
1660221370.06754,1540735.457208,16
1660221370.06754,1540735.457214,4
1660221370.12438,1540735.4572223,-2
1660221370.12438,1540735.457229,-11
1660221370.12438,1540735.4572367,-28
1660221370.12438,1540735.457244,-35
1660221370.12438,1540735.4572512,-40
1660221370.12438,1540735.4572598,-56
1660221370.12438,1540735.457265,-65
1660221370.12438,1540735.4572679,-58
1660221370.12438,1540735.45727,-44
1660221370.12438,1540735.4572721,-35
1660221370.12438,1540735.4572741,-25
1660221370.12438,1540735.4572761,-7
1660221370.12438,1540735.4572781,30
1660221370.12438,1540735.4572802,51
1660221370.12438,1540735.4572821,56
1660221370.12438,1540735.4572841,94
1660221370.12438,1540735.4572862,124
1660221370.12438,1540735.4572882,113
1660221370.12438,1540735.4572902,129
1660221370.12438,1540735.4572923,164
1660221370.12438,1540735.4572943,148
1660221370.12438,1540735.4572963,122
1660221370.12438,1540735.4572983,141
1660221370.12438,1540735.4573002,164
1660221370.12438,1540735.4573023,164
1660221370.12438,1540735.4573043,162
1660221370.12438,1540735.4573063,150
1660221370.12438,1540735.4573082,143
1660221370.12438,1540735.4573102,167
1660221370.12438,1540735.4573122,167
1660221370.12438,1540735.4573141,146
1660221370.12438,1540735.4573161,155
1660221370.12438,1540735.4573181,174
1660221370.12438,1540735.45732,179
1660221370.12438,1540735.457322,179
1660221370.12438,1540735.457324,174
1660221370.12438,1540735.4573259,183
1660221370.12438,1540735.4573283,204
1660221370.12438,1540735.4573326,204
1660221370.12438,1540735.4573389,183
1660221370.12438,1540735.4573445,176
1660221370.12438,1540735.4573508,202
1660221370.12438,1540735.4573547,216
1660221370.12438,1540735.4573614,190
1660221370.12438,1540735.4573653,181
1660221370.12438,1540735.4573717,204
1660221370.12438,1540735.9932549,186
1660221370.12438,1540735.9932728,148
1660221370.12438,1540735.9932847,150
1660221370.12438,1540735.9932888,153
1660221370.14832,1540735.9932925,150
1660221370.14832,1540735.9933004,176
1660221370.14832,1540735.9933041,195
1660221370.14832,1540735.9933079,195
1660221370.14832,1540735.9933115,202
1660221370.14832,1540735.9933154,197
1660221370.14832,1540735.9933211,183
1660221370.14832,1540735.9933263,181
1660221370.14832,1540735.9933299,188
1660221370.14832,1540735.9933335,190
1660221370.14832,1540735.9933371,219
1660221370.14832,1540735.993342,259
1660221370.14832,1540735.9933455,193
1660221370.14832,1540735.9933494,-91
1660221370.14832,1540735.993355,-487
1660221370.14832,1540735.9933587,-565
1660221370.14832,1540735.9933625,-115
1660221370.14832,1540735.9933678,353
1660221370.14832,1540735.9933717,384
1660221370.14832,1540735.9933773,219
1660221370.14832,1540735.993381,176
1660221370.14832,1540735.9933867,188
1660221370.14832,1540735.9933903,171
1660221370.14832,1540735.9933958,171
1660221370.14832,1540735.9933998,169
1660221370.14832,1540735.9934056,155
1660221370.14832,1540735.993414,146
1660221370.14832,1540735.9934194,141
1660221370.14832,1540735.9934232,146
1660221370.14832,1540735.9934284,136
1660221370.14832,1540735.9934324,108
1660221370.14832,1540735.993436,103
1660221370.14832,1540735.9934396,113
1660221370.14832,1540735.9934449,96
1660221370.14832,1540735.9934486,89
1660221370.14832,1540735.9934539,94
1660221370.14832,1540735.9934575,58
1660221370.14832,1540735.9934612,18
1660221370.14832,1540735.9934665,23
1660221370.14832,1540735.9934713,25
1660221370.14832,1540735.9934767,18
