Time,TimeLsl,Value
1658823650.33978,143002.3884909,55
1658823650.33978,143002.3885079,45
1658823650.33978,143002.3885165,62
1658823650.33978,143002.3885212,91
1658823650.33978,143002.3885257,98
1658823650.33978,143002.3885317,103
1658823650.33978,143002.3885371,123
1658823650.33978,143002.3885423,144
1658823650.33978,143002.388548,154
1658823650.33978,143002.3885531,161
1658823650.33978,143002.3885592,178
1658823650.33978,143002.3885662,200
1658823650.33978,143002.3885718,214
1658823650.33978,143002.3885783,212
1658823650.33978,143002.3885845,219
1658823650.33978,143002.3885912,231
1658823650.33978,143002.3885996,231
1658823650.33978,143002.3886048,236
1658823650.33978,143002.3886108,226
1658823650.33978,143002.3886167,173
1658823650.33978,143002.3886227,103
1658823650.33978,143002.3886291,53
1658823650.33978,143002.3886342,7
1658823650.33978,143002.3886403,-38
1658823650.33978,143002.3886482,-67
1658823650.33978,143002.3886547,-74
1658823650.33978,143002.3886615,-77
1658823650.33978,143002.3886695,-77
1658823650.33978,143002.3886834,-67
1658823650.33978,143002.388692,-62
1658823650.33978,143002.3886976,-55
1658823650.33978,143002.3887025,-43
1658823650.33978,143002.3887085,-33
1658823650.33978,143002.3887178,-28
1658823650.33978,143002.3887252,-19
1658823650.33978,143002.3887294,-4
1658823650.33978,143002.3887359,4
1658823650.33978,143002.3887452,12
1658823650.33978,143002.3887496,21
1658823650.33978,143002.388753,24
1658823650.33978,143002.3887572,24
1658823650.33978,143002.3887622,31
1658823650.33978,143002.3887652,36
1658823650.33978,143002.3887681,33
1658823650.33978,143002.3887711,28
1658823650.33978,143002.388774,31
1658823650.33978,143002.3887768,36
1658823650.33978,143002.3887796,36
1658823650.33978,143002.3887824,36
1658823650.33978,143002.3887853,50
1658823650.46146,143002.3887881,67
1658823650.46146,143002.3887909,69
1658823650.46146,143002.3887938,67
1658823650.46146,143002.3887967,67
1658823650.46146,143002.3888002,57
1658823650.46146,143002.3888126,41
1658823650.46146,143002.3888198,43
1658823650.46146,143002.3888232,50
1658823650.46146,143002.3888364,53
1658823650.46146,143002.3888475,55
1658823650.46146,143002.3888586,53
1658823650.46146,143002.3888682,16
1658823650.46146,143002.3888729,-12
1658823650.46146,143002.3888762,250
1658823650.46146,143002.3888791,972
1658823650.46146,143002.388882,1660
1658823650.46146,143002.3888849,1406
1658823650.46146,143002.3888878,113
1658823650.46146,143002.3888908,-706
1658823650.46146,143002.3888938,-277
1658823650.46146,143002.3888967,103
1658823650.46146,143002.3888995,-48
1658823650.46146,143002.3889027,-50
1658823650.46146,143003.0227206,50
1658823650.46146,143003.0227367,-7
1658823650.46146,143003.0227419,-43
1658823650.46146,143003.0227479,4
1658823650.46146,143003.0227525,16
1658823650.46146,143003.0227569,12
1658823650.46146,143003.0227607,36
1658823650.46146,143003.0227651,55
1658823650.46146,143003.0227696,62
1658823650.46146,143003.0227733,67
1658823650.46146,143003.0227776,74
1658823650.46146,143003.0227813,91
1658823650.46146,143003.0227858,123
1658823650.46146,143003.0227902,147
1658823650.46146,143003.0227938,161
1658823650.46146,143003.0227981,180
1658823650.46146,143003.0228026,188
1658823650.46146,143003.0228067,190
1658823650.46146,143003.0228135,209
1658823650.46146,143003.0228179,221
1658823650.46146,143003.022822,217
1658823650.46146,143003.0228261,212
1658823650.46146,143003.0228304,200
1658823650.46146,143003.0228341,154
1658823650.46146,143003.0228386,84
1658823650.46146,143003.0228425,28
1658823650.46146,143003.0228466,-14
1658823650.51232,143003.0228515,-43
1658823650.51232,143003.0228552,-60
1658823650.51232,143003.0228596,-65
1658823650.51232,143003.0228647,-60
1658823650.51232,143003.0228684,-50
1658823650.51232,143003.0228732,-43
1658823650.51232,143003.0228777,-41
1658823650.51232,143003.022882,-38
1658823650.51232,143003.0228863,-33
1658823650.51232,143003.0228896,-28
1658823650.51232,143003.022893,-21
1658823650.51232,143003.0228966,-12
1658823650.51232,143003.0229002,0
1658823650.51232,143003.0229039,12
1658823650.51232,143003.0229075,16
1658823650.51232,143003.0229111,26
1658823650.51232,143003.0229162,36
1658823650.51232,143003.0229228,31
1658823650.51232,143003.0229273,33
1658823650.51232,143003.0229307,48
1658823650.51232,143003.0229339,53
1658823650.51232,143003.022937,48
1658823650.51232,143003.0229401,48
1658823650.51232,143003.0229433,43
1658823650.51232,143003.0229471,45
1658823650.51232,143003.0229506,62
1658823650.51232,143003.0229584,84
1658823650.51232,143003.022965,89
1658823650.51232,143003.0229711,91
1658823650.51232,143003.0229796,89
1658823650.51232,143003.0229867,74
1658823650.51232,143003.0229907,60
1658823650.51232,143003.0229976,65
1658823650.51232,143003.0230066,72
1658823650.51232,143003.0230112,65
1658823650.51232,143003.0230153,67
1658823650.51232,143003.0230183,82
1658823650.51232,143003.0230244,62
1658823650.51232,143003.0230296,9
1658823650.51232,143003.0230345,120
1658823650.51232,143003.0230376,663
1658823650.51232,143003.0230405,1442
1658823650.51232,143003.0230434,1652
1658823650.51232,143003.0230464,675
1658823650.51232,143003.0230492,-533
1658823650.51232,143003.0230523,-511
1658823650.51232,143003.5583079,57
1658823650.51232,143003.5583284,50
1658823650.51232,143003.5583351,-55
1658823650.51232,143003.55834,57
1658823650.53127,143003.5583448,69
1658823650.53127,143003.5583498,21
1658823650.53127,143003.5583544,55
1658823650.53127,143003.5583592,77
1658823650.53127,143003.5583638,69
1658823650.53127,143003.5583686,84
1658823650.53127,143003.558373,106
1658823650.53127,143003.558377,118
1658823650.53127,143003.5583813,123
1658823650.53127,143003.5583865,118
1658823650.53127,143003.5583913,127
1658823650.53127,143003.5583959,142
1658823650.53127,143003.5584002,161
1658823650.53127,143003.5584046,183
1658823650.53127,143003.55841,200
1658823650.53127,143003.5584156,200
1658823650.53127,143003.5584203,202
1658823650.53127,143003.5584276,219
1658823650.53127,143003.5584323,236
1658823650.53127,143003.5584364,236
1658823650.53127,143003.5584404,229
1658823650.53127,143003.5584447,209
1658823650.53127,143003.5584492,164
1658823650.53127,143003.5584536,106
1658823650.53127,143003.5584597,53
1658823650.53127,143003.5584634,7
1658823650.53127,143003.5584687,-31
1658823650.53127,143003.5584723,-62
1658823650.53127,143003.5584775,-77
1658823650.53127,143003.5584812,-74
1658823650.53127,143003.5584863,-67
1658823650.53127,143003.55849,-62
1658823650.53127,143003.5584952,-53
1658823650.53127,143003.5584989,-48
1658823650.53127,143003.5585043,-48
1658823650.53127,143003.5585145,-38
1658823650.53127,143003.5585179,-21
1658823650.53127,143003.5585213,-9
1658823650.53127,143003.5585245,-2
1658823650.53127,143003.5585276,0
1658823650.53127,143003.5585309,4
1658823650.53127,143003.5585344,14
1658823650.53127,143003.5585377,19
1658823650.53127,143003.558541,21
1658823650.53127,143003.5585458,31
1658823650.53127,143003.5585494,33
1658823650.53127,143003.558555,26
1658823650.53127,143003.5585587,26
1658823650.53127,143003.5585655,38
1658823650.53127,143003.5585742,43
1658823650.54125,143003.5585849,41
1658823650.54125,143003.5585921,28
1658823650.54125,143003.5585988,31
1658823650.54125,143003.5586032,48
1658823650.54125,143003.5586061,62
1658823650.54125,143003.5586088,55
1658823650.54125,143003.5586118,50
1658823650.54125,143003.5586147,53
1658823650.54125,143003.5586177,31
1658823650.54125,143003.5586209,4
1658823650.54125,143003.5586239,14
1658823650.54125,143003.558627,31
1658823650.54125,143003.5586302,33
1658823650.54125,143003.558633,38
1658823650.54125,143003.558636,41
1658823650.54125,143003.558639,0
1658823650.54125,143003.5586422,-16
1658823650.54125,143003.5586458,316
1658823650.54125,143003.5586498,1078
1658823650.54125,143004.0462883,1703
1658823650.54125,143004.0463111,1310
1658823650.54125,143004.0463266,-38
1658823651.10325,143004.0463406,-731
1658823651.10325,143004.0463482,-226
1658823651.10325,143004.0463554,103
1658823651.10325,143004.0463624,-55
1658823651.10325,143004.0463696,-24
1658823651.10325,143004.0463756,74
1658823651.10325,143004.0463811,16
1658823651.10325,143004.0463874,-7
1658823651.10325,143004.0463915,41
1658823651.10325,143004.0463974,50
1658823651.10325,143004.0464033,50
1658823651.10325,143004.0464086,67
1658823651.10325,143004.0464122,77
1658823651.10325,143004.0464401,84
1658823651.10325,143004.0464502,101
1658823651.10325,143004.0464553,120
1658823651.10325,143004.0464594,137
1658823651.10325,143004.0464648,159
1658823651.10325,143004.0464715,176
1658823651.10325,143004.0464769,183
1658823651.10325,143004.0464831,193
1658823651.10325,143004.0464877,205
1658823651.10325,143004.0464923,214
1658823651.10325,143004.046497,221
1658823651.10325,143004.0465038,224
1658823651.10325,143004.0465101,224
1658823651.10325,143004.0465147,209
1658823651.10325,143004.0465212,176
1658823651.10325,143004.0465257,127
1658823651.10325,143004.0465311,67
1658823651.10325,143004.0465372,12
1658823651.10325,143004.0465438,-24
1658823651.10325,143004.0465484,-53
1658823651.10325,143004.0465544,-77
1658823651.10325,143004.0465614,-86
1658823651.10325,143004.0466568,-77
1658823651.10325,143004.0466645,-67
1658823651.10325,143004.0466678,-69
1658823651.10325,143004.046671,-69
1658823651.10325,143004.0466783,-60
1658823651.10325,143004.0466817,-45
1658823651.10325,143004.0466851,-36
1658823651.10325,143004.0466885,-28
1658823651.10325,143004.0466916,-16
1658823651.10325,143004.0466948,-4
1658823651.10325,143004.0466983,-7
1658823651.10325,143004.0467014,-7
1658823651.10325,143004.0467055,4
1658823651.10325,143004.0467102,12
1658823651.10325,143004.0467167,2
1658823651.1252,143004.0467211,0
1658823651.1252,143004.0467276,4
1658823651.1252,143004.0467317,7
1658823651.1252,143004.0467375,12
