Time,TimeLsl,Value
1659000154.63733,319510.0153815,63
1659000154.63733,319510.0154031,18
1659000154.63733,319510.0154132,-14
1659000154.63733,319510.0154196,275
1659000154.63733,319510.0154275,989
1659000154.63733,319510.0154336,1472
1659000154.63733,319510.0154412,1100
1659000154.63733,319510.0154473,134
1659000154.63733,319510.0154553,-407
1659000154.63733,319510.0154614,-174
1659000154.63733,319510.0154689,-14
1659000154.63733,319510.0154749,-176
1659000154.63733,319510.0154825,-190
1659000154.63733,319510.0154885,-115
1659000154.63733,319510.0154959,-122
1659000154.63733,319510.0155017,-120
1659000154.63733,319510.0155095,-91
1659000154.63733,319510.0155162,-89
1659000154.63733,319510.0155238,-91
1659000154.63733,319510.0155297,-73
1659000154.63733,319510.0155356,-44
1659000154.63733,319510.015539,-21
1659000154.63733,319510.0155433,4
1659000154.63733,319510.0155469,28
1659000154.63733,319510.0155503,42
1659000154.63733,319510.0155537,68
1659000154.63733,319510.0155572,106
1659000154.63733,319510.015563,131
1659000154.63733,319510.0155663,141
1659000154.63733,319510.0155699,146
1659000154.63733,319510.0155753,139
1659000154.63733,319510.0155787,113
1659000154.63733,319510.0155835,94
1659000154.63733,319510.0155868,87
1659000154.63733,319510.0155902,56
1659000154.63733,319510.0155954,11
1659000154.63733,319510.0156,-4
1659000154.63733,319510.0156042,-9
1659000154.63733,319510.0156128,-23
1659000154.63733,319510.0156201,-35
1659000154.63733,319510.0156307,-37
1659000154.63733,319510.0156354,-40
1659000154.63733,319510.0156405,-28
1659000154.63733,319510.0156436,-11
1659000154.63733,319510.0156474,0
1659000154.63733,319510.0156515,2
1659000154.63733,319510.015656,-2
1659000154.63733,319510.0156595,-7
1659000154.63733,319510.015663,7
1659000154.63733,319510.0156662,16
1659000154.77099,319510.0156697,4
1659000154.77099,319510.0156752,0
1659000154.77099,319510.0156787,7
1659000154.77099,319510.0156822,7
1659000154.77099,319510.0156857,4
1659000154.77099,319510.0156893,11
1659000154.77099,319510.0156932,9
1659000154.77099,319510.0156966,-9
1659000154.77099,319510.0157001,-14
1659000154.77099,319510.0157038,0
1659000154.77099,319510.0157077,32
1659000154.77099,319510.0157114,73
1659000154.77099,319510.0157151,80
1659000154.77099,319510.0157185,42
1659000154.77099,319510.0157222,4
1659000154.77099,319510.0157259,-9
1659000154.77099,319510.0157295,-9
1659000154.77099,319510.0157332,-9
1659000154.77099,319510.015737,-21
1659000154.77099,319510.0157408,-28
1659000154.77099,319510.0157445,-16
1659000154.77099,319510.0157484,-4
1659000154.77099,319510.0157521,-47
1659000154.77099,319510.6502845,-65
1659000154.77099,319510.6503104,287
1659000154.77099,319510.6503177,1010
1659000154.77099,319510.6503276,1394
1659000154.77099,319510.6503325,928
1659000154.77099,319510.6503389,-11
1659000154.77099,319510.6503479,-431
1659000154.77099,319510.6503582,-162
1659000154.77099,319510.6503678,-96
1659000154.77099,319510.6503781,-285
1659000154.77099,319510.6503939,-235
1659000154.77099,319510.6504078,-139
1659000154.77099,319510.6504231,-183
1659000154.77099,319510.6504411,-186
1659000154.77099,319510.6504518,-148
