Time,TimeLsl,Value
1658942039.59946,261392.7642899,79
1658942039.59946,261392.7643088,71
1658942039.59946,261392.7643176,76
1658942039.59946,261392.7643224,79
1658942039.59946,261392.7643287,79
1658942039.59946,261392.7643331,74
1658942039.59946,261392.76434,67
1658942039.59946,261392.7643467,64
1658942039.59946,261392.7643499,74
1658942039.59946,261392.764353,76
1658942039.59946,261392.7643579,71
1658942039.59946,261392.7643645,67
1658942039.59946,261392.7643697,50
1658942039.59946,261392.7643751,40
1658942039.59946,261392.7643794,50
1658942039.59946,261392.7643869,59
1658942039.59946,261392.7643922,62
1658942039.59946,261392.7643976,62
1658942039.59946,261392.7644029,59
1658942039.59946,261392.7644107,62
1658942039.59946,261392.7644153,74
1658942039.59946,261392.7644199,86
1658942039.59946,261392.7644348,103
1658942039.59946,261392.7644458,103
1658942039.59946,261392.7644527,74
1658942039.59946,261392.7644576,40
1658942039.59946,261392.7644654,31
1658942039.59946,261392.7644715,43
1658942039.59946,261392.7644751,50
1658942039.59946,261392.7644805,47
1658942039.59946,261392.7644846,47
1658942039.59946,261392.7644882,50
1658942039.59946,261392.7644917,47
1658942039.59946,261392.7644956,47
1658942039.59946,261392.7644993,88
1658942039.59946,261392.7645029,268
1658942039.59946,261392.7645085,577
1658942039.59946,261392.7645126,819
1658942039.59946,261392.7645162,673
1658942039.59946,261392.7645198,115
1658942039.59946,261392.7645236,-215
1658942039.59946,261392.7645273,-2
1658942039.59946,261392.7645309,139
1658942039.59946,261392.7645364,11
1658942039.59946,261392.7645403,4
1658942039.59946,261392.7645458,67
1658942039.59946,261392.7645501,47
1658942039.59946,261392.7645556,43
1658942039.59946,261392.7645594,71
1658942039.59946,261392.7645653,76
1658942039.71615,261392.764569,74
1658942039.71615,261392.7645728,83
1658942039.71615,261392.7645781,91
1658942039.71615,261392.7645858,98
1658942039.71615,261392.7645911,105
1658942039.71615,261392.764595,115
1658942039.71615,261392.7646003,124
1658942039.71615,261392.764604,136
1658942039.71615,261392.7646096,146
1658942039.71615,261392.7646134,158
1658942039.71615,261392.7646188,162
1658942039.71615,261392.7646237,174
1658942039.71615,261392.7646275,186
1658942039.71615,261392.7646328,189
1658942039.71615,261392.7646365,186
1658942039.71615,261392.764642,186
1658942039.71615,261392.7646464,182
1658942039.71615,261392.7646499,174
1658942039.71615,261392.764656,167
1658942039.71615,261392.7646594,155
1658942039.71615,261392.7646653,146
1658942039.71615,261392.7646705,141
1658942039.71615,261392.7646761,124
1658942039.71615,261393.300392,103
1658942039.71615,261393.3004111,83
1658942039.71615,261393.3004175,69
1658942039.71615,261393.3004216,55
1658942039.71615,261393.3004259,47
1658942039.71615,261393.3004307,40
1658942039.71615,261393.3004354,35
1658942039.71615,261393.3004404,40
1658942039.71615,261393.3004455,38
1658942039.71615,261393.3004502,21
1658942039.71615,261393.3004551,11
1658942039.71615,261393.3004592,16
1658942039.71615,261393.300463,23
1658942039.71615,261393.3004669,31
1658942039.71615,261393.3004715,33
1658942039.71615,261393.3004754,23
1658942039.71615,261393.3004793,9
1658942039.71615,261393.3004848,7
1658942039.71615,261393.3004911,7
1658942039.71615,261393.3004966,7
1658942039.71615,261393.3005031,11
1658942039.71615,261393.3005121,11
1658942039.71615,261393.3005193,7
1658942039.71615,261393.3005251,7
1658942039.71615,261393.3005301,11
1658942039.71615,261393.3005349,14
1658942039.71615,261393.3005403,16
1658942039.75233,261393.3005451,16
1658942039.75233,261393.3005508,16
1658942039.75233,261393.3005568,14
1658942039.75233,261393.3005628,14
1658942039.75233,261393.3005685,14
1658942039.75233,261393.3005742,21
1658942039.75233,261393.3005807,16
1658942039.75233,261393.3005859,16
1658942039.75233,261393.3005927,28
1658942039.75233,261393.3005997,43
1658942039.75233,261393.3006057,57
1658942039.75233,261393.3006152,69
1658942039.75233,261393.3006242,57
1658942039.75233,261393.3006309,35
1658942039.75233,261393.3006392,23
1658942039.75233,261393.300651,21
1658942039.75233,261393.3006615,21
1658942039.75233,261393.300669,28
1658942039.75233,261393.3006768,33
1658942039.75233,261393.3006849,35
1658942039.75233,261393.3006921,35
1658942039.75233,261393.3006978,33
1658942039.75233,261393.300703,50
1658942039.75233,261393.3007106,177
1658942039.75233,261393.3007159,462
1658942039.75233,261393.3007195,762
1658942039.75233,261393.3007248,778
1658942039.75233,261393.3007287,306
1658942039.75233,261393.3007342,-194
1658942039.75233,261393.3007388,-110
1658942039.75233,261393.3007469,136
1658942039.75233,261393.3007548,57
1658942039.75233,261393.3007646,-19
1658942039.75233,261393.300797,52
1658942039.75233,261393.3008055,62
