Time,TimeLsl,Value
1657534000.17502,11064.5199037,107
1657534000.17502,11064.5199214,107
1657534000.17502,11064.5199305,107
1657534000.17502,11064.5199385,112
1657534000.17502,11064.5199433,112
1657534000.17502,11064.5199498,109
1657534000.17502,11064.5199546,95
1657534000.17502,11064.5199616,73
1657534000.17502,11064.5199657,69
1657534000.17502,11064.5199713,95
1657534000.17502,11064.519976,131
1657534000.17502,11064.5199837,152
1657534000.17502,11064.5199928,145
1657534000.17502,11064.5200022,121
1657534000.17502,11064.5200095,100
1657534000.17502,11064.5200189,83
1657534000.17502,11064.5200236,69
1657534000.17502,11064.5200356,66
1657534000.17502,11064.5200394,71
1657534000.17502,11064.5200446,64
1657534000.17502,11064.5200501,54
1657534000.17502,11064.5200537,54
1657534000.17502,11064.5200582,64
1657534000.17502,11064.5200643,73
1657534000.17502,11064.520071,95
1657534000.17502,11064.5200805,231
1657534000.17502,11064.5200875,639
1657534000.17502,11064.5200911,1156
1657534000.17502,11064.5200953,1132
1657534000.17502,11064.5201008,336
1657534000.17502,11064.5201102,-364
1657534000.17502,11064.5201147,-236
1657534000.17502,11064.5201185,121
1657534000.17502,11064.5201226,76
1657534000.17502,11064.5201293,-21
1657534000.17502,11064.5201355,54
1657534000.17502,11064.5201395,76
1657534000.17502,11064.5201451,50
1657534000.17502,11064.5201501,71
1657534000.17502,11064.5201561,85
1657534000.17502,11064.520161,78
1657534000.17502,11064.5201684,92
1657534000.17502,11064.5201758,107
1657534000.17502,11064.5201807,112
1657534000.17502,11064.5201885,119
1657534000.17502,11064.5201928,128
1657534000.17502,11064.5201984,133
1657534000.17502,11064.5202042,133
1657534000.17502,11064.5202088,138
1657534000.17502,11064.5202126,150
1657534000.27974,11064.5202163,164
1657534000.27974,11064.5202209,174
1657534000.27974,11064.5202298,185
1657534000.27974,11064.5202367,207
1657534000.27974,11064.5202412,228
1657534000.27974,11064.5202452,247
1657534000.27974,11064.5202564,267
1657534000.27974,11064.5202647,286
1657534000.27974,11064.5202702,307
1657534000.27974,11064.5202754,331
1657534000.27974,11064.5202809,350
1657534000.27974,11064.520286,357
1657534000.27974,11064.5202913,357
1657534000.27974,11064.5202966,348
1657534000.27974,11064.5203019,321
1657534000.27974,11064.5203074,274
1657534000.27974,11064.5203133,212
1657534000.27974,11064.5203199,135
1657534000.27974,11064.5203275,59
1657534000.27974,11064.5203345,7
1657534000.27974,11064.5203397,-33
1657534000.27974,11064.5203447,-61
1657534000.27974,11064.52035,-73
1657534000.27974,11065.1521252,-71
1657534000.27974,11065.1521454,-66
1657534000.27974,11065.1521535,-61
1657534000.27974,11065.152158,-64
1657534000.27974,11065.1521621,-71
1657534000.27974,11065.1521659,-83
1657534000.27974,11065.1521703,-92
1657534000.27974,11065.1521748,-88
1657534000.27974,11065.1521792,-81
1657534000.27974,11065.152184,-78
1657534000.27974,11065.152188,-73
