SpaceVideFront ;7; seconds
Floorready ;2; seconds
Walls ;0; seconds
safe ;0; seconds
OldExtinguisher ;0; seconds
door ;0; seconds
pokretlo ;0; seconds
PizzaSliceprefab ;0; seconds
WallTVs ;2; seconds
TVRight ;1; seconds
TVCenter ;0; seconds
HandColliderRight(Clone) ;0; seconds
Computer ;1; seconds
SF_Door ;5; seconds
frame ;0; seconds
EndLevelZone ;0; seconds
PineapllePrefab (4) ;1; seconds
SpaceVideUp ;0; seconds
SwitchBoxDoorStatic ;4; seconds
Cables ;0; seconds
Fridge ;0; seconds
Fridge_door ;0; seconds
TVLeft ;0; seconds
Chair ;0; seconds
