SpaceVideFront;22; seconds
ECGVisuzalization;22; seconds
Poster;18; seconds
SF_Door;19; seconds
Computer;4; seconds
PineapllePrefab (4);1; seconds
Cables;1; seconds
Fridge;13; seconds
Fridge_door;2; seconds
ShinRamen;1; seconds
PineapllePrefab (3);10; seconds
SodaCanPrefab;0; seconds
TVLeft;2; seconds
TVCenter;5; seconds
Floorready;6; seconds
Chair;1; seconds
Walls;6; seconds
Metal_box;0; seconds
safe;3; seconds
PizzaSliceprefab;0; seconds
13917_Pepperoni_v2;0; seconds
PineapllePrefab;0; seconds
SwitchBoxDoorStatic;4; seconds
frame;1; seconds
door;25; seconds
WallTVs;16; seconds
TVset4;0; seconds
Whisky_Bottle;1; seconds
Water_Bottle_FBX;1; seconds
Lock (1);0; seconds
pokretlo;1; seconds
plate;1; seconds
OldExtinguisher;1; seconds
TVRight;1; seconds
ScrollHint1;7; seconds
SwitchBoxSlider1;0; seconds
SwitchBoxSlider2;0; seconds
remote control TV;0; seconds
SwitchBoxDoorInteractable;0; seconds
MessagePrefab;0; seconds
card;1; seconds
EndLevelZone;2; seconds
