SpaceVideFront;29; seconds
TVCenter;15; seconds
TVRight;4; seconds
Walls;10; seconds
Chess;15; seconds
Floorready;13; seconds
13917_Pepperoni_v2;0; seconds
PizzaSliceprefab;0; seconds
plate;0; seconds
TVLeft;1; seconds
Fridge_door;8; seconds
Fridge;34; seconds
SF_Door;11; seconds
Computer;4; seconds
PineapllePrefab (4);2; seconds
frame;1; seconds
door;6; seconds
Cables;2; seconds
card;2; seconds
SwitchBoxDoorInteractable;2; seconds
Poster;6; seconds
remote control TV;5; seconds
SwitchBoxSlider1;0; seconds
SwitchBoxSlider2;0; seconds
safe;1; seconds
ChessPieceBlack7;0; seconds
pokretlo;0; seconds
Chair;1; seconds
PineapllePrefab (3);2; seconds
SodaCanPrefab;6; seconds
SandwichPrefab;2; seconds
HandColliderRight(Clone);0; seconds
ChessFind3;0; seconds
OldExtinguisher;0; seconds
SodaNote;6; seconds
WallTVs;4; seconds
SpaceVideUp;12; seconds
Icon;0; seconds
PineapllePrefab (5);0; seconds
ChessPieceBlack2;0; seconds
ApplePrefab;0; seconds
ScrollHint4;14; seconds
EndLevelZone;0; seconds
