SpaceVideFront;21; seconds
TVRight;9; seconds
TVCenter;21; seconds
ECGVisuzalization;5; seconds
Fridge_door;1; seconds
Fridge;1; seconds
Poster;1; seconds
SwitchBoxDoorStatic;1; seconds
frame;2; seconds
Cables;0; seconds
PineapllePrefab (5);0; seconds
PineapllePrefab (3);0; seconds
SodaCanPrefab;0; seconds
SandwichPrefab;0; seconds
Floorready;6; seconds
TVLeft;6; seconds
Chair;9; seconds
OldExtinguisher;0; seconds
safe;0; seconds
door;7; seconds
Walls;6; seconds
SF_Door;5; seconds
Computer;50; seconds
Metal_box;1; seconds
TVMessage;0; seconds
Whisky_Bottle;0; seconds
SpaceVideUp;0; seconds
Collider;2; seconds
WallTVs;0; seconds
TVset4;0; seconds
PineapllePrefab (4);0; seconds
EndLevelZone;6; seconds
