SpaceVideFront;29; seconds
WallTVs;12; seconds
TVCenter;11; seconds
Chair;5; seconds
Floorready;5; seconds
Walls;16; seconds
TVset4;0; seconds
PineapllePrefab (4);4; seconds
Computer;90; seconds
SF_Door;10; seconds
Poster;3; seconds
Fridge;10; seconds
Fridge_door;1; seconds
PineapllePrefab (3);0; seconds
Cables;2; seconds
SodaCanPrefab;0; seconds
ShinRamen;0; seconds
frame;3; seconds
SandwichPrefab;0; seconds
TVLeft;7; seconds
OldExtinguisher;0; seconds
safe;7; seconds
Metal_box;0; seconds
card (1);0; seconds
HandColliderRight(Clone);0; seconds
13917_Pepperoni_v2;5; seconds
TVRight;9; seconds
plate;1; seconds
TVMessage;6; seconds
PizzaSliceprefab;0; seconds
PineapllePrefab (5);0; seconds
door;2; seconds
pokretlo;4; seconds
ScrollHint3;7; seconds
EndLevelZone;0; seconds
Lock;0; seconds
