SpaceVideFront;65; seconds
SpaceVideUp;22; seconds
WallTVs;15; seconds
TVRight;1; seconds
TVCenter;4; seconds
Chair;0; seconds
Floorready;3; seconds
Walls;35; seconds
Chess;22; seconds
Cables;2; seconds
Fridge;18; seconds
Fridge_door;4; seconds
SF_Door;17; seconds
Poster;1; seconds
PineapllePrefab (3);3; seconds
TVset4;0; seconds
SwitchBoxDoorInteractable;0; seconds
PineapllePrefab (5);0; seconds
Computer;0; seconds
SodaCanPrefab;0; seconds
ShinRamen;1; seconds
PineapllePrefab (4);1; seconds
ScrollHint1;2; seconds
plate;0; seconds
SodaNote;0; seconds
ScrollHint4;1; seconds
remote control TV;0; seconds
frame;8; seconds
door;6; seconds
EndLevelZone;2; seconds
