0,0000;(0.25, -0.56, 15.72);(0.00, 180.00, 0.00)
0,0200;(0.25, -0.56, 15.72);(0.00, 180.00, 0.00)
0,0400;(0.28, 1.56, 16.97);(2.97, 193.23, 359.69)
0,3733;(0.32, 1.62, 16.99);(331.92, 166.14, 359.92)
0,4979;(0.32, 1.62, 16.99);(332.58, 165.89, 359.67)
0,5486;(0.32, 1.62, 16.98);(333.26, 166.15, 359.48)
0,5745;(0.32, 1.62, 16.98);(333.47, 166.25, 359.44)
0,5889;(0.32, 1.62, 16.98);(333.89, 166.47, 359.42)
0,6016;(0.32, 1.61, 16.98);(334.10, 166.60, 359.42)
0,6126;(0.32, 1.61, 16.98);(334.29, 166.74, 359.43)
0,6233;(0.32, 1.61, 16.98);(334.45, 166.90, 359.45)
0,6344;(0.32, 1.61, 16.98);(334.66, 167.07, 359.50)
0,6453;(0.32, 1.61, 16.98);(334.87, 167.25, 359.54)
0,6556;(0.32, 1.61, 16.98);(335.12, 167.44, 359.60)
0,6657;(0.31, 1.61, 16.97);(340.11, 173.69, 359.34)
0,8656;(0.30, 1.61, 16.97);(340.84, 175.82, 359.09)
0,9355;(0.30, 1.61, 16.97);(340.87, 176.41, 358.96)
0,9567;(0.30, 1.61, 16.97);(340.84, 176.93, 358.90)
0,9679;(0.30, 1.61, 16.97);(340.83, 177.15, 358.91)
0,9784;(0.30, 1.61, 16.97);(340.85, 177.34, 358.93)
0,9905;(0.30, 1.61, 16.97);(340.89, 177.54, 358.98)
1,0017;(0.30, 1.61, 16.97);(340.98, 177.72, 359.02)
1,0133;(0.30, 1.61, 16.97);(341.08, 177.88, 359.08)
1,0251;(0.30, 1.61, 16.97);(341.22, 178.03, 359.13)
1,0414;(0.30, 1.61, 16.97);(341.40, 178.17, 359.20)
1,0579;(0.30, 1.60, 16.97);(341.92, 178.44, 359.28)
1,0700;(0.30, 1.60, 16.97);(342.26, 178.53, 359.35)
1,0811;(0.30, 1.60, 16.97);(342.59, 178.65, 359.41)
1,0920;(0.30, 1.60, 16.97);(343.03, 178.75, 359.48)
1,1021;(0.30, 1.60, 16.97);(343.48, 178.86, 359.55)
1,1122;(0.30, 1.60, 16.97);(344.01, 178.92, 359.65)
1,1231;(0.31, 1.60, 16.97);(344.55, 179.00, 359.76)
1,1336;(0.31, 1.60, 16.97);(345.14, 179.07, 359.87)
1,1456;(0.31, 1.60, 16.97);(345.78, 179.14, 0.00)
1,1579;(0.31, 1.59, 16.97);(346.40, 179.21, 0.11)
1,1680;(0.31, 1.59, 16.97);(347.12, 179.30, 0.22)
1,1795;(0.31, 1.59, 16.97);(347.83, 179.37, 0.35)
1,1972;(0.31, 1.59, 16.97);(348.62, 179.45, 0.47)
1,2138;(0.31, 1.59, 16.97);(350.34, 179.66, 0.68)
1,2264;(0.31, 1.58, 16.97);(351.31, 179.79, 0.77)
1,2368;(0.31, 1.58, 16.97);(352.30, 179.93, 0.88)
1,2473;(0.31, 1.58, 16.97);(353.34, 180.10, 0.99)
1,2593;(0.31, 1.58, 16.97);(354.33, 180.28, 1.09)
1,2709;(0.31, 1.58, 16.97);(355.25, 180.49, 1.17)
1,2812;(0.31, 1.57, 16.97);(356.11, 180.70, 1.25)
1,2934;(0.31, 1.57, 16.97);(356.91, 180.96, 1.31)
1,3031;(0.31, 1.57, 16.97);(357.68, 181.26, 1.36)
1,3136;(0.31, 1.57, 16.97);(358.48, 181.57, 1.44)
1,3249;(0.31, 1.57, 16.97);(359.27, 181.89, 1.51)
1,3351;(0.31, 1.56, 16.97);(0.08, 182.22, 1.62)
1,3517;(0.31, 1.56, 16.97);(0.85, 182.56, 1.71)
1,3707;(0.31, 1.56, 16.97);(2.25, 183.22, 2.00)
1,3841;(0.31, 1.56, 16.97);(2.94, 183.51, 2.13)
1,3964;(0.31, 1.56, 16.97);(3.61, 183.80, 2.27)
1,4088;(0.31, 1.55, 16.97);(4.25, 184.10, 2.41)
1,4202;(0.31, 1.55, 16.97);(5.40, 184.67, 2.61)
1,4340;(0.31, 1.55, 16.97);(5.88, 184.96, 2.69)
1,4462;(0.31, 1.55, 16.97);(6.28, 185.21, 2.74)
