0,0000;(0.25, -0.56, 15.72);(0.00, 180.00, 0.00)
0,0200;(0.25, -0.56, 15.72);(0.00, 180.00, 0.00)
0,0400;(0.37, 1.99, 16.87);(331.66, 151.20, 358.97)
0,3733;(0.38, 1.98, 16.88);(336.51, 138.72, 359.85)
0,5035;(0.38, 1.98, 16.88);(338.07, 140.16, 359.96)
0,5583;(0.38, 1.97, 16.88);(339.00, 141.06, 359.85)
0,5866;(0.38, 1.97, 16.88);(339.50, 141.58, 359.83)
0,5993;(0.38, 1.97, 16.88);(340.49, 142.61, 359.87)
0,6117;(0.38, 1.97, 16.88);(340.98, 143.16, 359.93)
0,6229;(0.38, 1.97, 16.87);(341.48, 143.75, 0.01)
0,6340;(0.38, 1.97, 16.87);(342.02, 144.32, 0.10)
0,6439;(0.38, 1.97, 16.87);(342.55, 144.93, 0.17)
0,6546;(0.38, 1.97, 16.87);(343.12, 145.54, 0.25)
0,6653;(0.37, 1.94, 16.85);(352.59, 158.07, 0.31)
0,8664;(0.36, 1.94, 16.84);(355.96, 162.48, 0.28)
0,9282;(0.36, 1.93, 16.84);(357.05, 163.98, 0.08)
0,9470;(0.36, 1.93, 16.84);(357.68, 164.76, 359.98)
0,9586;(0.36, 1.93, 16.84);(358.32, 165.55, 359.88)
0,9689;(0.35, 1.93, 16.84);(358.93, 166.36, 359.81)
0,9796;(0.35, 1.93, 16.84);(359.48, 167.20, 359.76)
0,9908;(0.35, 1.93, 16.84);(0.03, 168.05, 359.75)
1,0009;(0.35, 1.92, 16.84);(0.57, 168.90, 359.74)
1,0113;(0.35, 1.92, 16.84);(1.11, 169.74, 359.74)
1,0231;(0.35, 1.92, 16.84);(1.69, 170.56, 359.77)
1,0405;(0.34, 1.92, 16.83);(2.70, 172.25, 359.85)
1,0575;(0.34, 1.92, 16.83);(3.17, 173.10, 359.89)
1,0685;(0.34, 1.92, 16.83);(3.62, 173.99, 359.98)
1,0773;(0.34, 1.91, 16.83);(4.02, 174.83, 0.08)
1,0891;(0.34, 1.91, 16.83);(4.37, 175.67, 0.17)
1,1002;(0.33, 1.91, 16.83);(4.70, 176.46, 0.26)
1,1115;(0.33, 1.91, 16.83);(5.04, 177.24, 0.35)
1,1228;(0.33, 1.91, 16.83);(5.44, 178.00, 0.39)
1,1345;(0.33, 1.91, 16.83);(5.87, 178.76, 0.39)
1,1453;(0.33, 1.91, 16.83);(6.28, 179.54, 0.41)
1,1566;(0.33, 1.91, 16.83);(6.66, 180.29, 0.41)
1,1687;(0.32, 1.91, 16.83);(7.01, 181.05, 0.42)
1,1802;(0.32, 1.91, 16.83);(7.30, 181.76, 0.42)
1,1977;(0.32, 1.90, 16.83);(7.77, 183.11, 0.37)
1,2149;(0.32, 1.90, 16.83);(7.95, 183.71, 0.35)
1,2271;(0.32, 1.90, 16.83);(8.07, 184.27, 0.32)
1,2383;(0.32, 1.90, 16.83);(8.16, 184.75, 0.30)
1,2486;(0.31, 1.90, 16.83);(8.26, 185.22, 0.29)
1,2592;(0.31, 1.90, 16.83);(8.30, 185.60, 0.28)
1,2696;(0.31, 1.90, 16.83);(8.34, 185.98, 0.28)
1,2799;(0.31, 1.90, 16.83);(8.33, 186.24, 0.25)
1,2913;(0.31, 1.90, 16.83);(8.34, 186.48, 0.22)
1,3036;(0.31, 1.90, 16.83);(8.36, 186.65, 0.18)
1,3148;(0.31, 1.90, 16.83);(8.38, 186.77, 0.14)
1,3277;(0.31, 1.90, 16.83);(8.42, 186.90, 0.12)
1,3397;(0.31, 1.90, 16.83);(8.44, 186.96, 0.03)
1,3582;(0.31, 1.90, 16.83);(8.42, 186.92, 359.98)
1,3760;(0.31, 1.90, 16.83);(8.38, 186.84, 359.89)
1,3881;(0.31, 1.90, 16.83);(8.36, 186.77, 359.86)
1,3992;(0.31, 1.90, 16.83);(8.35, 186.68, 359.85)
1,4103;(0.31, 1.90, 16.83);(8.31, 186.59, 359.84)
1,4216;(0.31, 1.90, 16.83);(8.27, 186.49, 359.86)
1,4334;(0.31, 1.90, 16.83);(8.21, 186.38, 359.86)
1,4434;(0.31, 1.90, 16.83);(8.15, 186.26, 359.84)
