0,0000;(0.25, -0.56, 15.72);(0.00, 180.00, 0.00)
0,0200;(0.25, -0.56, 15.72);(0.00, 180.00, 0.00)
0,0400;(0.32, 2.06, 16.85);(1.64, 179.17, 358.68)
0,3733;(0.34, 2.09, 16.89);(348.78, 170.21, 359.51)
0,5323;(0.35, 2.09, 16.90);(348.44, 167.55, 0.11)
0,6038;(0.35, 2.09, 16.90);(348.58, 166.56, 0.41)
0,6354;(0.35, 2.09, 16.90);(348.82, 166.10, 0.56)
0,6514;(0.35, 2.09, 16.90);(348.94, 165.97, 0.61)
0,6648;(0.35, 2.08, 16.89);(353.94, 166.69, 0.35)
0,8679;(0.35, 2.07, 16.88);(357.37, 167.51, 359.79)
0,9442;(0.35, 2.07, 16.88);(359.44, 168.15, 359.55)
0,9699;(0.35, 2.06, 16.87);(0.16, 168.37, 359.49)
0,9833;(0.35, 2.06, 16.87);(0.92, 168.62, 359.45)
0,9940;(0.35, 2.06, 16.87);(1.67, 168.88, 359.39)
1,0051;(0.35, 2.06, 16.87);(2.44, 169.12, 359.34)
1,0171;(0.35, 2.06, 16.87);(3.21, 169.37, 359.29)
1,0282;(0.35, 2.06, 16.87);(3.99, 169.62, 359.27)
1,0459;(0.35, 2.05, 16.86);(5.50, 170.14, 359.21)
1,0643;(0.35, 2.05, 16.86);(7.67, 170.84, 359.12)
1,0749;(0.35, 2.04, 16.86);(8.33, 171.01, 359.06)
1,0862;(0.35, 2.04, 16.86);(8.99, 171.18, 358.99)
1,0974;(0.35, 2.04, 16.86);(9.65, 171.36, 358.94)
1,1081;(0.35, 2.04, 16.85);(10.28, 171.52, 358.87)
1,1192;(0.34, 2.04, 16.85);(10.89, 171.67, 358.81)
1,1300;(0.34, 2.04, 16.85);(11.43, 171.80, 358.74)
1,1414;(0.34, 2.03, 16.85);(11.94, 171.90, 358.66)
1,1521;(0.34, 2.03, 16.85);(12.40, 171.95, 358.58)
1,1638;(0.34, 2.03, 16.85);(12.85, 171.96, 358.47)
1,1758;(0.34, 2.03, 16.85);(13.31, 171.94, 358.37)
1,1906;(0.34, 2.03, 16.85);(13.74, 171.91, 358.25)
1,2119;(0.34, 2.03, 16.85);(14.49, 171.86, 358.01)
1,2310;(0.34, 2.02, 16.84);(15.17, 171.76, 357.78)
1,2426;(0.34, 2.02, 16.84);(15.47, 171.75, 357.68)
1,2554;(0.34, 2.02, 16.84);(15.76, 171.75, 357.62)
1,2673;(0.34, 2.02, 16.84);(16.04, 171.76, 357.56)
1,2780;(0.34, 2.02, 16.84);(16.31, 171.80, 357.50)
1,2898;(0.34, 2.02, 16.84);(16.57, 171.83, 357.48)
1,3029;(0.34, 2.02, 16.84);(16.83, 171.87, 357.46)
1,3148;(0.34, 2.02, 16.84);(17.05, 171.91, 357.44)
1,3264;(0.34, 2.02, 16.84);(17.28, 171.93, 357.42)
1,3385;(0.34, 2.02, 16.84);(17.54, 171.94, 357.39)
1,3518;(0.34, 2.02, 16.84);(17.97, 171.95, 357.33)
1,3726;(0.34, 2.02, 16.83);(18.16, 171.92, 357.30)
1,3931;(0.34, 2.01, 16.83);(18.54, 171.82, 357.16)
1,4076;(0.34, 2.01, 16.83);(18.71, 171.75, 357.08)
1,4216;(0.34, 2.01, 16.83);(18.88, 171.67, 356.99)
1,4361;(0.34, 2.01, 16.83);(19.04, 171.58, 356.93)
1,4471;(0.34, 2.01, 16.83);(19.17, 171.49, 356.88)
1,4588;(0.34, 2.01, 16.83);(19.31, 171.42, 356.83)
1,4703;(0.34, 2.01, 16.83);(19.44, 171.35, 356.81)
1,4825;(0.34, 2.01, 16.83);(19.56, 171.27, 356.78)
1,4941;(0.34, 2.01, 16.83);(19.66, 171.21, 356.77)
1,5058;(0.34, 2.01, 16.83);(19.76, 171.15, 356.75)
1,5176;(0.34, 2.01, 16.83);(19.86, 171.09, 356.75)
1,5293;(0.34, 2.01, 16.83);(20.04, 171.00, 356.76)
1,5411;(0.34, 2.01, 16.83);(20.12, 170.97, 356.77)
1,5537;(0.34, 2.01, 16.83);(20.21, 170.94, 356.78)
1,5679;(0.34, 2.01, 16.83);(20.29, 170.89, 356.78)
