0,0000;(0.25, -0.56, 15.72);(0.00, 180.00, 0.00)
0,0200;(0.25, -0.56, 15.72);(0.00, 180.00, 0.00)
0,0400;(0.24, 1.82, 16.44);(358.57, 221.32, 354.09)
0,3733;(0.37, 1.79, 16.39);(10.51, 183.80, 0.15)
0,5480;(0.37, 1.78, 16.39);(13.48, 185.51, 0.30)
0,6186;(0.37, 1.78, 16.38);(14.60, 185.83, 0.41)
0,6432;(0.37, 1.78, 16.38);(15.22, 185.97, 0.47)
0,6583;(0.37, 1.78, 16.38);(15.89, 186.10, 0.55)
0,6703;(0.37, 1.77, 16.38);(16.58, 186.20, 0.63)
0,6812;(0.37, 1.74, 16.36);(26.17, 183.48, 359.94)
0,8778;(0.38, 1.74, 16.36);(28.22, 180.95, 359.06)
0,9499;(0.38, 1.74, 16.35);(28.38, 180.39, 358.93)
0,9771;(0.38, 1.74, 16.35);(28.35, 180.14, 358.88)
0,9916;(0.38, 1.74, 16.35);(28.26, 179.94, 358.85)
1,0042;(0.38, 1.74, 16.35);(28.10, 179.58, 358.81)
1,0169;(0.38, 1.74, 16.35);(28.05, 179.45, 358.80)
1,0300;(0.38, 1.74, 16.35);(28.01, 179.23, 358.85)
1,0516;(0.38, 1.74, 16.34);(28.02, 179.11, 358.89)
1,0715;(0.38, 1.74, 16.34);(28.06, 179.09, 358.91)
1,0841;(0.38, 1.74, 16.34);(28.09, 179.07, 358.93)
1,0960;(0.38, 1.74, 16.34);(28.15, 179.09, 358.94)
1,1070;(0.38, 1.74, 16.34);(28.20, 179.09, 358.96)
1,1185;(0.38, 1.74, 16.34);(28.26, 179.12, 358.95)
1,1291;(0.38, 1.74, 16.34);(28.34, 179.16, 358.96)
1,1396;(0.38, 1.74, 16.34);(28.42, 179.20, 358.98)
1,1512;(0.38, 1.74, 16.34);(28.51, 179.26, 359.01)
1,1635;(0.38, 1.73, 16.34);(28.59, 179.31, 359.04)
1,1742;(0.38, 1.73, 16.34);(28.68, 179.39, 359.07)
1,1868;(0.38, 1.73, 16.34);(28.74, 179.47, 359.10)
1,1986;(0.38, 1.73, 16.34);(28.82, 179.55, 359.13)
1,2104;(0.38, 1.73, 16.34);(28.90, 179.65, 359.18)
1,2227;(0.38, 1.73, 16.34);(28.96, 179.73, 359.24)
1,2343;(0.38, 1.73, 16.34);(29.03, 179.78, 359.28)
1,2457;(0.38, 1.73, 16.34);(29.08, 179.82, 359.36)
1,2584;(0.38, 1.73, 16.34);(29.19, 179.83, 359.44)
1,2735;(0.38, 1.73, 16.34);(29.23, 179.78, 359.43)
1,2857;(0.38, 1.73, 16.34);(29.22, 179.68, 359.39)
1,2966;(0.38, 1.73, 16.34);(29.21, 179.55, 359.35)
1,3074;(0.38, 1.73, 16.34);(29.19, 179.36, 359.31)
1,3197;(0.38, 1.73, 16.34);(29.15, 179.17, 359.27)
1,3310;(0.39, 1.73, 16.34);(29.09, 178.92, 359.23)
1,3421;(0.39, 1.73, 16.34);(29.02, 178.63, 359.18)
1,3545;(0.39, 1.73, 16.34);(28.96, 178.29, 359.11)
1,3692;(0.39, 1.73, 16.34);(28.88, 177.94, 359.05)
1,3847;(0.39, 1.73, 16.33);(28.78, 177.15, 358.89)
1,3961;(0.39, 1.73, 16.34);(28.74, 176.73, 358.78)
1,4084;(0.39, 1.73, 16.34);(28.71, 176.32, 358.70)
1,4194;(0.39, 1.73, 16.34);(28.67, 175.48, 358.52)
1,4310;(0.40, 1.73, 16.34);(28.68, 175.01, 358.42)
1,4418;(0.40, 1.73, 16.34);(28.66, 174.57, 358.33)
1,4535;(0.40, 1.73, 16.34);(28.65, 174.11, 358.22)
1,4660;(0.40, 1.73, 16.34);(28.63, 173.69, 358.13)
1,4773;(0.40, 1.73, 16.34);(28.58, 173.29, 358.09)
1,4885;(0.40, 1.73, 16.34);(28.55, 172.93, 358.08)
1,4996;(0.40, 1.73, 16.34);(28.52, 172.59, 358.15)
1,5099;(0.40, 1.74, 16.34);(28.48, 172.31, 358.25)
1,5205;(0.40, 1.74, 16.34);(28.43, 172.02, 358.33)
1,5319;(0.41, 1.74, 16.34);(28.37, 171.81, 358.40)
